Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out),Fed Rate,CPI,Consumer Confidence,Unemployment Rate
3293866Q US,Orion Power Holdings Inc,550.0,6.1,-45.7,,90.5959,20.0,0.0,1811.92,2000-11-14,686286105,,,17.00 - 20.00,Priced Within Range,Electric,Utilities,Independ Power Producer,,6.514333333333334,183.1,107.6,3.9
NWPWQ US,NewPower Holdings Inc,504.0,339.9,-88.4,-65.0,120.428,21.0,1.3605442047619047,2528.99,2000-10-05,652463100,-5.6,,18.00 - 20.00,Priced Above Range,Electric,Utilities,Electric-Distribution,,6.509354838709677,182.6,105.8,3.9
ISIL US,Renesas Electronics America Inc,500.0,3.9,8.8,4.1,90.484,25.0,4.64,2262.1,2000-02-25,46069S109,0.7,44664.0,18.00 - 20.00,Priced Above Range,Semiconductors,Technology,Electronic Compo-Semicon,0.0324149,5.7348275862068965,179.4,111.3,4.1
80825Q US,MPS Merchant Services Inc,479.4,59.0,0.3,,0.0,24.0,0.6684027512499999,0.0,2001-04-24,03840J106,,,22.00 - 25.00,Priced Within Range,Pipelines,Energy,Pipelines,,4.8020000000000005,185.1,88.4,4.4
1902177D US,Nextel Partners Inc,470.0,,,23.9,158.928,20.0,2.53125,3178.56,2000-02-23,65333F107,,10700.0,16.00 - 18.00,Priced Above Range,Telecommunications,Communications,Cellular Telecom,0.00510317,5.7348275862068965,179.4,111.3,4.1
NRG US,NRG Energy Inc,422.55,-2.4,4.0,4.4,0.0,15.0,1.8888889313333332,0.0,2000-05-31,629377508,11.1,211000000.0,,,Electric,Utilities,Independ Power Producer,103.419,6.268064516129033,180.7,110.7,4.0
316623Q US,NRG Energy Inc/Old,422.55,-7.0,130.9,-11.4,28.17,15.0,0.7222222013333333,422.55,2000-05-31,629377102,,,16.00 - 18.00,Priced Below Range,Electric,Utilities,Independ Power Producer,,6.268064516129033,180.7,110.7,4.0
ACLS US,Axcelis Technologies Inc,375.1,-9.9,19.7,15.2,97.05,22.0,0.4003099094545455,2135.1,2000-07-11,54540208,4.3,34100000.0,20.00 - 22.00,Priced Within Range,Semiconductors,Technology,Semiconductor Equipment,105.865,6.5445161290322575,181.5,108.3,4.0
0813137D US,Ribapharm Inc,299.0,88.1,47.8,79.0,150.0,10.0,0.8,1500.0,2002-04-12,762537108,0.5,,13.00 - 15.00,Priced Below Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,1.753,189.7,93.0,5.9
OPLK US,Oplink Communications Inc,246.6,11.6,-0.5,-0.9,155.851,18.0,4.822530958333334,2805.32,2000-10-04,68375Q403,0.2,,16.00 - 18.00,Priced Within Range,Telecommunications,Communications,Telecom Eq Fiber Optics,,6.509354838709677,182.6,105.8,3.9
CYH US,Community Health Systems Inc,243.75,1.1,-4.0,-3.6,74.3978,13.0,0.4068047449999999,967.17,2000-06-09,203668108,3.6,113000000.0,13.00 - 15.00,Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Medical-Hospitals,80.6233,6.528333333333333,181.1,106.4,4.0
173150Q US,Equinix Inc/Old,240.0,387.2,-297.1,-20.3,73.7729,12.0,0.78125,885.27,2000-08-11,29444U106,-0.8,,10.00 - 12.00,Priced Within Range,Internet,Communications,Web Hosting/Design,,6.496774193548387,181.9,107.3,4.1
WPSL US,WP Stewart & Co Ltd,224.0,-60.1,-151.2,25.0,47.3356,20.0,1.125,946.71,2000-12-08,860474105,4.4,,20.00 - 23.00,Priced Within Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,,6.402258064516129,183.3,98.4,3.9
CRL US,Charles River Laboratories International Inc,224.0,-1.9,0.2,0.1,32.3204,16.0,2.34375,517.126,2000-06-23,159864107,14.3,55500000.0,15.00 - 17.00,Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&Testing Srv,113.084,6.528333333333333,181.1,106.4,4.0
LXRX US,Lexicon Pharmaceuticals Inc,220.0,2481.4,-644.7,-75.9,47.5151,22.0,-0.6714875913636363,1045.33,2000-04-07,528872302,-0.5,300000000.0,22.00 - 24.00,Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,82.8877,6.019666666666667,180.3,109.2,3.8
TNOX US,Tanox Inc,213.75,,,1.3,40.789,28.5,0.0,1162.49,2000-04-07,87588Q109,,530.0,27.00 - 30.00,Priced Within Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,0.0011595,6.019666666666667,180.3,109.2,3.8
AOLAQ US,America Online Latin America Inc,200.0,-19.5,-145.3,-324.5,260.4,8.0,0.68359375,2083.2,2000-08-08,02365B100,-0.1,,8.00 - 10.00,Priced Within Range,Internet,Communications,Web Portals/ISP,,6.496774193548387,181.9,107.3,4.1
2295243D US,Handspring Inc,200.0,-38.8,-89.0,-70.6,125.254,20.0,1.734375,2505.08,2000-06-21,410293104,-0.3,4388.0,17.00 - 19.00,Priced Above Range,Computers,Technology,Computers,0.00295205,6.528333333333333,181.1,106.4,4.0
ACLA US,Aclara BioSciences Inc,189.0,,,-17.0,31.173,21.0,2.5226756504761902,654.633,2000-03-21,00461P106,,,16.00 - 18.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,5.853548387096774,180.0,107.1,4.0
STLW US,Stratos International LLC,183.75,,,1.6,62.7798,21.0,2.9761904761904763,1318.38,2000-06-27,863100202,,,16.00 - 18.00,Priced Above Range,Telecommunications,Communications,Networking Products,,6.528333333333333,181.1,106.4,4.0
PLKI US,Popeyes Louisiana Kitchen Inc,183.281,,11.4,16.1,29.4645,17.0,1.1678200888235295,500.9,2001-03-02,732872106,4.6,,15.00 - 17.00,Priced Within Range,Retail,"Consumer, Cyclical",Retail-Restaurants,,5.310967741935484,184.7,91.5,4.3
BFH US,Bread Financial Holdings Inc,179.4,-7.1,5.7,1.2,71.8615,12.0,1.3888888358333331,862.34,2001-06-08,18581108,37.4,52300000.0,12.00 - 14.00,Priced Within Range,Diversified Finan Serv,Financial,Finance-Credit Card,108.678,3.969666666666667,186.0,92.6,4.5
MSV US,Manufacturers Services Ltd,176.0,,,-3.0,30.9478,16.0,2.05078125,495.16,2000-06-23,565005105,,,17.00 - 19.00,Priced Below Range,Electronics,Industrial,Electronic Compo-Misc,,6.528333333333333,181.1,106.4,4.0
OPSW US,Opsware Inc,172.5,66.5,-15.8,-16.2,73.2568,6.0,0.434027791,439.54,2001-03-09,68383A101,-0.0343784,,6.00 - 6.00,Priced Within Range,Internet,Communications,Internet Infrastr Sftwr,,5.310967741935484,184.7,91.5,4.3
WHQA US,W-H Energy Services LLC,165.0,,,14.1,22.0593,16.5,-0.8264463018181818,363.98,2000-10-11,9.29E+112,,207.0,16.50 - 18.50,Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,0.00066744,6.509354838709677,182.6,105.8,3.9
ICST US,Integrated Circuit Systems Inc,162.5,,,12.0,64.2516,13.0,-0.5917159593846154,835.27,2000-05-23,45811K208,,,15.00 - 17.00,Priced Below Range,Semiconductors,Technology,Electronic Compo-Semicon,,6.268064516129033,180.7,110.7,4.0
1574849D US,Purple Communications Inc,160.0,,,-107.5,47.1368,16.0,0.0,754.19,2000-04-07,746389105,,,14.00 - 16.00,Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Commercial Services,,6.019666666666667,180.3,109.2,3.8
DZSIQ US,DZS Inc,155.25,-31.6,-55.2,-35.0,109.293,15.0,2.635555521333333,1639.39,2001-05-17,268211109,-1.4,7270000.0,13.00 - 15.00,Priced Within Range,Telecommunications,Communications,Telecommunication Equip,18.7434,4.21225806451613,185.3,92.0,4.3
ACAP US,American Physicians Capital Inc,154.579,,,3.9,11.4503,13.5,0.034293552237037,154.58,2000-12-08,28884104,,2400.0,13.50 - 15.50,Priced Within Range,Insurance,Financial,Property/Casualty Ins,0.0257426,6.402258064516129,183.3,98.4,3.9
3109386Q US,Universal Compression Holdings Inc,154.0,24.2,9.2,3.6,12.9823,22.0,0.0129132230181818,285.611,2000-05-24,913431102,7.0,,21.00 - 23.00,Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,,6.268064516129033,180.7,110.7,4.0
649848Q US,Westport Resources Corp,152.7,67.0,9.6,3.8,0.0,15.0,0.9444444653333334,0.0,2000-10-19,961418100,6.5,1009.0,,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,0.00148587,6.509354838709677,182.6,105.8,3.9
COD US,Chiles Offshore Inc,148.2,32.4,30.3,5.0,16.231,19.0,0.5540166152631579,308.39,2000-09-19,16888M104,2.4,,17.00 - 19.00,Priced Within Range,Oil&Gas,Energy,Oil&Gas Drilling,,6.517,182.3,106.8,3.9
LMNE US,Luminent Inc,144.0,90.2,-52.3,,156.0,12.0,0.0868055522499999,1872.0,2000-11-10,55027R103,0.0923069,,13.00 - 15.00,Priced Below Range,Telecommunications,Communications,Telecom Eq Fiber Optics,,6.514333333333334,183.1,107.6,3.9
GMRRQ US,Gener8 Maritime Inc/Old,144.0,,,-9.9,36.0,18.0,-0.3858024808888889,648.0,2001-06-12,N.A.,,,17.00 - 19.00,Priced Within Range,Transportation,Industrial,Transport-Marine,,3.969666666666667,186.0,92.6,4.5
ENTG US,Entegris Inc,143.0,-8.0,9.0,3.4,67.0095,11.0,0.1549586816363636,737.1,2000-07-10,29362U104,4.1,173000000.0,11.00 - 13.00,Priced Within Range,Semiconductors,Technology,Semiconductor Equipment,114.653,6.5445161290322575,181.5,108.3,4.0
CRIO US,Corio Inc,140.0,,,-19.8,49.0,14.0,2.9017857142857144,686.0,2000-07-20,218875102,,,11.00 - 13.00,Priced Above Range,Software,Technology,Enterprise Software/Serv,,6.5445161290322575,181.5,108.3,4.0
CRWN US,Crown Media Holdings Inc,140.0,15.1,17.9,9.0,29.3296,14.0,0.0,410.61,2000-05-04,228411104,0.2,,14.00 - 15.00,Priced Within Range,Media,Communications,Broadcast Serv/Program,,6.268064516129033,180.7,110.7,4.0
ALGN US,Align Technology Inc,138.173,3.5,10.5,6.8,45.6157,13.0,2.5517751253846157,593.0,2001-01-26,16255101,9.8,71500000.0,14.00 - 16.00,Priced Below Range,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,97.6143,5.975806451612903,183.9,94.7,4.2
TLCT US,DirecTV Broadband Inc,132.0,4901.0,-1854.0,-110.3,0.0,12.0,0.8680555816666667,0.0,2000-03-29,87971D103,-1.6,,10.00 - 12.00,Priced Within Range,Media,Communications,Broadcast Serv/Program,,5.853548387096774,180.0,107.1,4.0
HYDL US,Hydril Co,127.5,,,18.0,7.5,17.0,1.1678200888235295,127.5,2000-09-26,448774109,,,16.00 - 18.00,Priced Within Range,Oil&Gas Services,Energy,Oil Field Mach&Equip,,6.517,182.3,106.8,3.9
NS US,NuStar Energy LP,126.788,-2.9,16.7,4.3,8.92432,24.5,0.5830903734693877,218.65,2001-04-10,67058H102,4.4,23900000.0,22.00 - 24.00,Priced Above Range,Pipelines,Energy,Pipelines,18.874,4.8020000000000005,185.1,88.4,4.4
1813314D US,Danisco US Inc/California,126.0,7.1,6.3,3.5,58.8565,18.0,1.1188271838888888,1059.42,2000-07-28,368709101,1.0,,16.00 - 18.00,Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,6.5445161290322575,181.5,108.3,4.0
ITMN US,InterMune Inc,125.0,168.7,-312.1,-42.3,0.0,20.0,1.25,0.0,2000-03-24,45884X103,-2.5,,17.00 - 19.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,5.853548387096774,180.0,107.1,4.0
3714927Q US,Genomica Corp,122.36,,,-31.6,20.9894,19.0,0.121191137736842,398.8,2000-09-29,37243Q101,,,16.00 - 18.00,Priced Above Range,Software,Technology,Applications Software,,6.517,182.3,106.8,3.9
3042466Q US,ChipPAC Inc,120.0,18.0,-6.7,-1.7,66.5587,12.0,0.3472222089999999,798.7,2000-08-09,169657103,0.5,,13.00 - 15.00,Priced Below Range,Semiconductors,Technology,Electronic Compo-Semicon,,6.496774193548387,181.9,107.3,4.1
1833548D US,RNI Wind Down Corp,120.0,-66.9,-204.4,-29.5,102.088,12.0,0.7378472487500001,1225.06,2001-02-16,769320102,-0.5,,11.00 - 13.00,Priced Within Range,Telecommunications,Communications,Networking Products,,5.494285714285715,184.4,90.6,4.2
TTMI US,TTM Technologies Inc,120.0,9.4,2.3,1.6,35.55,16.0,1.9287109375,568.8,2000-09-21,87305R109,2.3,108000000.0,13.00 - 15.00,Priced Above Range,Electronics,Industrial,Circuit Boards,106.664,6.517,182.3,106.8,3.9
DESCQ US,Distributed Energy Systems Corp,119.0,,,-89.7,32.0252,17.0,4.022491455294118,544.43,2000-09-29,25475V104,,66500.0,14.00 - 16.00,Priced Above Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,0.166041,6.517,182.3,106.8,3.9
EXEL US,Exelixis Inc,118.3,18.4,24.0,17.7,40.3458,13.0,1.2943787207692308,524.5,2000-04-11,30161Q104,2.4,276000000.0,10.00 - 12.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,100.246,6.019666666666667,180.3,109.2,3.8
TPR US,Tapestry Inc,118.08,0.1,12.2,7.5,42.4063,16.0,1.6845703125,678.5,2000-10-05,876030107,5.4,236000000.0,14.00 - 16.00,Priced Within Range,Apparel,"Consumer, Cyclical",Apparel Manufacturers,114.236,6.509354838709677,182.6,105.8,3.9
RDEA US,Ardea Biosciences Inc,112.5,,,-57.8,28.5811,15.0,0.3333333333333333,428.72,2000-03-28,03969P107,,,13.00 - 15.00,Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,5.853548387096774,180.0,107.1,4.0
HPOW US,H Power Corp,112.0,-29.2,-1083.6,-41.1,52.7569,16.0,0.78125,844.11,2000-08-09,40427A207,-2.5,,11.00 - 13.00,Priced Above Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,,6.496774193548387,181.9,107.3,4.1
NEI US,Unicom Engineering Inc,110.5,22.9,13.4,29.7,32.6736,17.0,4.152249055882353,555.45,2000-07-13,64121A107,0.1,,16.00 - 17.00,Priced Within Range,Internet,Communications,Internet Infrastr Equip,,6.5445161290322575,181.5,108.3,4.0
IBEMQ US,iBEAM Broadcasting Corp,110.0,12070.4,-2598.8,-258.7,105.944,10.0,4.0,1059.44,2000-05-18,45073P408,-13.5,,9.00 - 11.00,Priced Within Range,Internet,Communications,Internet Content-Entmnt,,6.268064516129033,180.7,110.7,4.0
OMNY US,OmniSky Corp,109.2,,-1071.8,-128.3,65.1536,12.0,3.917100588333333,781.84,2000-09-21,68213L103,-4.8,,10.00 - 12.00,Priced Within Range,Telecommunications,Communications,Cellular Telecom,,6.517,182.3,106.8,3.9
ARNA US,Arena Pharmaceuticals Inc,108.0,-83.0,-1.14,-62.4,20.9966,18.0,2.1604938505555555,377.939,2000-07-28,40047607,-7.4,4860000.0,15.00 - 17.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,7.88591,6.5445161290322575,181.5,108.3,4.0
PBSC US,Packard Bioscience Co,108.0,4.0,-3.8,17.8,60.3017,9.0,0.1543209817777777,542.72,2000-04-20,695172205,0.1,,16.00 - 18.00,Priced Below Range,Electronics,Industrial,Instruments-Scientific,,6.019666666666667,180.3,109.2,3.8
DGEN US,Deltagen Inc,105.0,,-2.2,-110.4,28.8044,15.0,1.7777777353333333,432.07,2000-08-03,24783R103,,,13.00 - 15.00,Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,6.496774193548387,181.9,107.3,4.1
KYPH US,Kyphon Americas Inc,103.5,33.2,9.7,-8.5,35.6446,15.0,0.911111132,534.67,2002-05-17,501577100,1.2,,13.00 - 15.00,Priced Within Range,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,,1.751290322580645,190.0,96.9,5.8
ELAS US,Elastic Networks Inc,101.4,-39.3,-230.0,-86.1,31.2928,13.0,0.5547337165384616,406.81,2000-09-28,284159100,-1.8,,10.00 - 12.00,Priced Above Range,Telecommunications,Communications,Telecommunication Equip,,6.517,182.3,106.8,3.9
ITXIQ US,Integrated Telecom Express Inc,100.8,-68.4,-212.6,-21.8,41.288,18.0,2.121913486111111,743.184,2000-08-18,45817U101,-0.5,,17.00 - 19.00,Priced Within Range,Telecommunications,Communications,Telecommunication Equip,,6.496774193548387,181.9,107.3,4.1
355676Q US,Rosetta Inpharmatics LLC,100.8,963.9,-312.6,,29.0341,14.0,1.9770408357142857,406.48,2000-08-03,777777103,,,10.00 - 12.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,6.496774193548387,181.9,107.3,4.1
3610748Q US,Encore Acquisition Co,100.1,-39.6,-11.8,-2.2,30.03,14.0,0.2806122473571428,420.42,2001-03-08,29255W100,14.1,127700.0,13.00 - 15.00,Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,0.228084,5.310967741935484,184.7,91.5,4.3
UPCS US,UbiquiTel Inc,100.0,15.4,11.2,8.5,64.7636,8.0,-0.48828125,518.11,2000-06-07,903474302,0.7,,8.00 - 10.00,Priced Within Range,Telecommunications,Communications,Cellular Telecom,,6.528333333333333,181.1,106.4,4.0
SLAB US,Silicon Laboratories Inc,99.2,-25.2,-32.6,-14.3,46.5781,31.0,3.993236174193549,1443.92,2000-03-24,826919102,-0.4,37900000.0,21.00 - 23.00,Priced Above Range,Semiconductors,Technology,Electronic Compo-Semicon,116.621,5.853548387096774,180.0,107.1,4.0
MMP US,Magellan Midstream Partners LP,98.9,17.1,32.3,13.3,5.67969,21.5,0.5408328744186046,122.11,2001-02-06,559080106,5.4,22000000.0,20.00 - 22.00,Priced Within Range,Pipelines,Energy,Pipelines,10.8955,5.494285714285715,184.4,90.6,4.2
753397Q US,Select Medical Corp,98.325,5.2,3.6,,43.6918,9.5,0.6925207941052631,415.07,2001-04-05,816196109,4.7,,10.00 - 11.00,Priced Below Range,Healthcare-Services,"Consumer, Non-cyclical",Medical-Hospitals,,4.8020000000000005,185.1,88.4,4.4
MDCO US,Medicines Co/The,96.0,-86.3,-2006.4,-28.9,28.1962,16.0,2.2216796875,451.14,2000-08-08,584688105,-3.5,10300000.0,14.00 - 16.00,Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,12.9661,6.496774193548387,181.9,107.3,4.1
NFLX US,Netflix Inc,94.875,15.6,22.3,18.3,20.6481,15.0,0.7777777986666667,309.72,2002-05-22,64110L106,17.1,381000000.0,13.00 - 15.00,Priced Within Range,Internet,Communications,Internet Content-Entmnt,89.0927,1.751290322580645,190.0,96.9,5.8
ASCXZ US,Advanced Switching Communications Inc,93.75,-58.5,-363.5,-60.7,40.5907,15.0,1.3333333333333333,608.86,2000-10-04,00757V106,-0.6,,13.00 - 15.00,Priced Within Range,Telecommunications,Communications,Telecommunication Equip,,6.509354838709677,182.6,105.8,3.9
PMTR US,Pemstar Inc,92.4,32.0,-3.2,2.9,37.4293,11.0,2.066115639090909,411.72,2000-08-08,706552106,-0.1,,11.00 - 13.00,Priced Within Range,Electronics,Industrial,Electronic Compo-Misc,,6.496774193548387,181.9,107.3,4.1
OIS US,Oil States International Inc,92.2442,-11.4,-1.6,-1.1,48.1564,9.0,0.1851851807777777,433.41,2001-02-09,678026105,0.7,54400000.0,9.00 - 10.00,Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,86.7325,5.494285714285715,184.4,90.6,4.2
VYYO US,Javelin Innovations Inc,91.125,,,-112.6,33.6973,13.5,3.703703703703704,454.91,2000-04-05,918458209,,,13.00 - 15.00,Priced Within Range,Telecommunications,Communications,Wireless Equipment,,6.019666666666667,180.3,109.2,3.8
INFIQ US,Infinity Pharmaceuticals Inc,90.0,39.5,-1711.1,-98.5,22.4372,18.0,0.5401234626666667,403.87,2000-07-27,45665G303,-0.4,10500000.0,15.00 - 17.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,11.6066,6.5445161290322575,181.5,108.3,4.0
LXNT US,Lexent Inc,90.0,-48.5,-40.6,-40.2,39.695,15.0,4.694444274666666,595.42,2000-07-28,52886Q102,-0.0372869,,12.00 - 14.00,Priced Above Range,Telecommunications,Communications,Telecom Services,,6.5445161290322575,181.5,108.3,4.0
PROXQ US,Proxim Corp,90.0,-21.2,-41.6,-50.5,51.74,12.0,1.3888888358333331,620.88,2000-08-01,744283201,-1.1,415.0,10.00 - 12.00,Priced Within Range,Telecommunications,Communications,Wireless Equipment,0.00122846,6.496774193548387,181.9,107.3,4.1
ADLR US,Adolor Corp,90.0,,,-6.5,26.849,15.0,1.0555555346666667,402.74,2000-11-14,00724X102,,354.0,15.00 - 17.00,Priced Within Range,Pharmaceuticals,"Consumer, Non-cyclical",Therapeutics,0.000759629,6.514333333333334,183.1,107.6,3.9
AMEV US,Applied Molecular Evolution Inc,88.35,,,-24.0,21.202,19.0,3.289473684210526,402.838,2000-07-27,3.82E+111,,,15.00 - 17.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,6.5445161290322575,181.5,108.3,4.0
UNWR US,US Unwired Inc,88.0,11.0,-21.8,26.5,0.0,11.0,0.0516528920727272,0.0,2000-05-18,90338R104,0.4,,13.00 - 15.00,Priced Below Range,Telecommunications,Communications,Cellular Telecom,,6.268064516129033,180.7,110.7,4.0
OSCA US,OSCA Inc,86.8,33.3,5.5,-1.8,5.6,15.5,0.8844953354838709,86.8,2000-06-15,687836106,1.8,,14.00 - 16.00,Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,,6.528333333333333,181.1,106.4,4.0
ERPLQ US,Energy Partners Ltd/Old,86.25,-21.5,-14.6,-15.9,27.0575,15.0,-0.2222222169333333,405.86,2000-11-02,29270U105,5.7,6000.0,17.00 - 19.00,Priced Below Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,0.0185833,6.514333333333334,183.1,107.6,3.9
AGP US,AMERIGROUP Corp,86.02,,,4.6,19.182,17.0,1.3494810217647055,326.09,2001-11-06,03073T102,,,17.00 - 19.00,Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Medical-HMO,,2.087,188.1,83.9,5.5
LSBC US,Large Scale Biology Corp,85.0,,,-122.6,15.4774,17.0,1.6868511647058824,263.12,2000-08-10,517053203,,,12.00 - 14.00,Priced Above Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,,6.496774193548387,181.9,107.3,4.1
ATPAQ US,ATP Oil & Gas Corp/United States,84.0,54.9,-28.4,-6.1,21.7857,14.0,0.0,305.0,2001-02-05,00208J108,3.8,4654.1,15.00 - 18.00,Priced Below Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,0.00892276,5.494285714285715,184.4,90.6,4.2
ENWV US,Endwave Corp,84.0,,,-30.9,32.5433,14.0,0.0318877548,455.61,2000-10-17,29264A206,,,13.00 - 15.00,Priced Within Range,Telecommunications,Communications,Telecommunication Equip,,6.509354838709677,182.6,105.8,3.9
VAST US,Livingston International Technology Services Corp,84.0,,,-4.5,34.4575,14.0,1.6581632071428571,482.41,2000-09-27,92239N109,,,11.00 - 13.00,Priced Above Range,Software,Technology,Applications Software,,6.517,182.3,106.8,3.9
DRRX US,Durect Corp,84.0,-76.2,-409.8,-26.2,45.8057,12.0,1.6710069975,549.668,2000-09-28,266605500,-0.6,8170000.0,10.00 - 12.00,Priced Within Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,26.3156,6.517,182.3,106.8,3.9
RSNT US,Resonate Inc,84.0,,,-22.9,25.7794,21.0,3.429705301904762,541.37,2000-08-03,76115Q104,,,15.00 - 17.00,Priced Above Range,Software,Technology,Applications Software,,6.496774193548387,181.9,107.3,4.1
569665Q US,Multilink Technology Corp,82.8,-86.0,-581.6,-94.0,65.2235,9.0,2.7037037744444445,587.01,2001-06-21,62544T208,-4.5,,8.00 - 10.00,Priced Within Range,Semiconductors,Technology,Semiconductor Equipment,,3.969666666666667,186.0,92.6,4.5
