Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate
0778324D US,Esperion Therapeutics Inc/Old,,,,54.0,24.0249,9.0,30.55555534,216.22,2000-08-10,29664R106,-4.7,54.0,24.0249,0.00643161,2192.0,10-Aug,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.51,0.0,107.3,4.1
0813137D US,Ribapharm Inc,88.1,47.8,79.0,299.0,150.0,10.0,8.0,1500.0,2002-04-12,762537108,0.5,299.0,150.0,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.88,0.5592841163310839,93.0,5.9
0814801D US,Bruker AXS Inc,,,-2.8,67.275,54.8303,6.5,0.0,356.4,2001-12-14,11679P101,,67.275,54.8303,,,10-Aug,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Imaging Systems,2.06,-0.3945885005637069,88.8,5.7
0816864D US,S&P 500 Covered Call Fund Inc,,,,336.0,0.0,20.0,0.0,0.0,2005-03-28,78381P109,,336.0,0.0,7.20851,1276050.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,2.39,0.7820646506777719,92.6,5.2
0818604D US,Bridge Street Financial Inc,18.8,9.6,,15.1073,2.68367,10.0,1.600000024,26.84,2003-01-06,10805U109,1.2,15.1073,2.68367,,,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Eastern US,1.16,0.442233278054161,82.4,5.8
0820558D US,Talarian Corp,-6.2,-157.3,-30.0,67.2,18.8551,16.0,42.1875,301.68,2000-07-21,874090103,-0.7,67.2,18.8551,,,14-Dec,Priced Above Range,Technology,Software,Enterprise Software/Serv,6.86,0.23201856148492,108.3,4.0
0824986D US,EEG Glider Inc,1.5,-23.3,-34.0,189.925,21.3415,10.0,0.200000003,213.41,2011-05-13,37951D201,,189.925,21.3415,,,10-Oct,Priced Within Range,Communications,Media,Cable/Satellite TV,0.09,0.4704187527233639,74.3,9.0
0852651D US,Metals USA Holdings Corp,5.1,2.6,5.3,239.953,37.0248,21.0,-8.571428299,777.52,2010-04-09,59132A104,1.8,239.953,37.0248,,,18 - 20,Priced Above Range,Basic Materials,Iron/Steel,Steel-Producers,0.17,0.1736884910697429,72.2,9.9
0861757D US,Animal Health Holdings Inc,0.3,0.1,0.7,149.27,24.333,11.0,13.18181801,267.66,2007-01-31,03525N109,0.2,149.27,24.333,,,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Veterinary Diagnostics,5.17,0.3052527254707629,96.9,4.6
0863289D US,Anchor Hocking Holdings Inc,-13.1,-33.7,-41.6,75.0,7.51,10.0,0.100000002,75.1,2012-02-24,74966A203,-1.3,75.0,7.51,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Appliances,0.11,0.440297355127631,75.3,8.3
0878522D US,Crestwood Midstream Partners L,3.9,14.8,1.4,120.75,11.5886,21.0,0.0,243.36,2007-08-07,226372100,1.9,120.75,11.5886,,,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines,5.3,-0.1833902227087109,83.4,4.6
0882565D US,Sizmek Technologies Inc,,,9.2,62.2576,18.3153,11.5,-8.695652008,210.63,2010-08-11,58449C100,,62.2576,18.3153,,,14 - 16,Priced Below Range,Communications,Advertising,Advertising Services,0.18,0.1380664278408069,68.9,9.5
0883461D US,Eagle Test Systems Inc,,,11.6,100.75,20.6415,15.5,0.0,319.94,2006-03-09,270006109,,100.75,20.6415,,,14 - 16,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,4.52,0.55359838953198,88.9,4.7
0891107D US,FTD Group Inc,,,5.1,195.845,29.0166,13.0,4.615384579,377.22,2005-02-09,30267U108,,195.845,29.0166,,,14-Dec,Priced Within Range,Communications,Internet,E-Commerce/Products,2.4,0.576822233875206,94.1,5.4
0911013D US,Specialty Laboratories Inc,12.6,-9.6,-15.9,80.0,20.1875,16.0,45.703125,323.0,2000-12-08,84749R100,-0.3,80.0,20.1875,0.00152654,365.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,6.6,-0.0574382538770748,98.4,3.9
0918134D US,Emageon Inc,,,-56.5,74.75,19.633,13.0,15.0,255.23,2005-02-09,29076V109,,74.75,19.633,,,13 - 15,Priced Within Range,Technology,Software,Enterprise Software/Serv,2.4,0.576822233875206,94.1,5.4
0932839D US,Xenogen Corp,,,-52.4,29.4,14.9773,7.0,7.142857075,104.84,2004-07-16,98410R108,,29.4,14.9773,,,8-Aug,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.4,-0.158144438587237,96.7,5.5
0959089D US,Corillian Corp,,,-1.6,32.0,29.5256,8.0,6.25,236.2,2000-04-12,218725109,,32.0,29.5256,,,12-Oct,Priced Below Range,Financial,Diversified Finan Serv,Finance-Other Services,6.17,0.058411214953279,109.2,3.8
0965081D US,First Trust Tax-Advantaged Pre,,,,59.2,0.0,20.0,0.0,0.0,2006-06-28,336918107,,59.2,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.02,0.1975308641975319,84.9,4.6
0965087D US,SeaCube Container Leasing Ltd,17.3,23.3,2.8,109.25,19.5428,10.0,10.0,195.428,2010-10-28,N.A.,5.1,109.25,19.5428,,,16 - 18,Priced Below Range,Financial,Diversified Finan Serv,Finance-Leasing Compan,0.2,0.1245198888476958,67.7,9.4
0967702D US,HealthSpring Inc,,,10.9,421.59,57.2896,19.5,12.71794891,1117.15,2006-02-03,42224N101,,421.59,57.2896,,,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,4.47,0.2017145738779499,86.7,4.8
0967872D US,Global Traffic Network Inc,25.7,7.6,11.2,21.85,12.87,5.0,4.0,64.35,2006-03-24,37947B103,0.9,21.85,12.87,,,5.50 - 6.50,Priced Below Range,Communications,Media,Radio,4.52,0.55359838953198,88.9,4.7
0977894D US,United Financial Bancorp Inc/O,29.9,19.1,,77.6215,0.0,10.0,17.5,0.0,2005-07-13,91030T109,1.4,77.6215,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Eastern US,3.36,0.4627249357326559,96.5,5.0
1008517Q US,Blaze Software Inc,100.9,-130.6,,64.0,21.3192,16.0,73.4375,341.11,2000-03-23,09347T109,-0.6,64.0,21.3192,,,14-Dec,Priced Above Range,Communications,Internet,Internet Infrastr Sftwr,5.78,0.8244994110718371,107.1,4.0
1016061Q US,Viewlocity Inc,-79.2,-144.4,-247.5,35.0,27.615,7.0,0.0,193.305,2000-08-15,926720103,-3.1,35.0,27.615,,,8-Jul,Priced Within Range,Technology,Software,Applications Software,6.51,0.0,107.3,4.1
1023765D US,ConnectOne Bancorp Inc/Old,15.6,24.4,0.9,51.52,4.753,28.0,5.892857075,133.08,2013-02-12,20786U101,3.0,51.52,4.753,,,26 - 29,Priced Within Range,Financial,Banks,Commer Banks-Eastern US,0.14,0.8190029529268759,77.6,7.7
1023767D US,NorthStar Realty Finance Corp/,106.6,-11.9,-2.1,190.447,20.0851,9.0,-2.777777672,180.77,2004-10-26,66704R100,2.9,190.447,20.0851,,,11-Sep,Priced Within Range,Financial,REITS,REITS-Diversified,1.86,0.5265929436545569,91.7,5.5
1052394D US,MPG Office Trust Inc,-1.6,166.2,22.9,797.743,37.1693,19.0,0.0,706.22,2003-06-25,553274101,0.1,797.743,37.1693,,,19 - 21,Priced Within Range,Financial,REITS,REITS-Office Property,1.28,0.108991825613079,89.7,6.3
1056372D US,ProCentury Corp,,,3.9,93.45,13.1012,10.5,0.0,137.56,2004-04-20,74268T108,,93.45,13.1012,,,12-Oct,Priced Within Range,Financial,Insurance,Property/Casualty Ins,1.03,0.320170757737461,94.2,5.6
1119666D US,James River Group Inc,,,5.1,91.9908,14.3847,18.0,11.11111069,258.92,2005-08-09,470359100,,91.9908,14.3847,,,16 - 18,Priced Within Range,Financial,Insurance,Property/Casualty Ins,3.3,0.5117707267144339,89.1,4.9
1121454D US,StorageNetworks Inc,-23.2,-80.6,-11.6,243.0,88.261,27.0,234.2592621,2383.05,2000-06-29,8.62E+107,-0.00553193,243.0,88.261,0.00660204,6567.0,23 - 25,Priced Above Range,Technology,Computers,Computers-Memory Devices,6.65,0.5247813411078819,106.4,4.0
1224790D US,NASDAQ Premium Income & Growth,,,,364.0,0.0,20.0,0.0,0.0,2007-01-26,63110R105,,364.0,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.17,0.3052527254707629,96.9,4.6
1229348D US,Jason Industries Inc,-8.1,-24.1,-24.3,172.5,18.4,10.0,0.398750007,184.0,2013-08-09,74874R207,-0.7,172.5,18.4,,,10-Oct,Priced Within Range,Industrial,Hand/Machine Tools,Mach Tools&Rel Products,0.08,0.12029315570472,82.1,7.2
1233306D US,Animas Corp,,,-34.7,73.3125,18.5318,15.0,20.0,277.98,2004-05-20,03525Y105,,73.3125,18.5318,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,1.03,0.5851063829787189,90.2,5.6
1235274D US,GenOn Energy Inc,-14.6,-18.5,7.9,1794.0,292.0,30.0,10.0,8760.0,2001-05-01,3.72E+111,,1794.0,292.0,,,28 - 30,Priced Within Range,Utilities,Electric,Electric-Generation,4.61,0.4522328999434578,92.0,4.3
1236053D US,EnergySolutions Inc,-0.1,-3.0,-5.9,828.506,0.0,23.0,0.043478262,0.0,2007-11-14,292756202,0.2,828.506,0.0,,,19 - 21,Priced Above Range,Industrial,Environmental Control,Hazardous Waste Disposal,4.59,0.5939617873415811,76.1,4.7
1240716D US,Targa Energy LP,69.4,-2.9,-0.8,82.8,21.1,23.0,0.0,485.3,2006-07-21,04930A104,0.7,82.8,21.1,0.00707592,3681.0,23 - 25,Priced Within Range,Energy,Pipelines,Pipelines,5.05,0.295712173484489,84.7,4.7
1245842D US,Valera Pharmaceuticals Inc,-33.0,-77.5,-57.4,34.7625,14.8085,9.0,10.33333302,133.28,2006-02-02,91914F100,-0.9,34.7625,14.8085,,,12-Oct,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,4.47,0.2017145738779499,86.7,4.8
1291067D US,Blue Bird Corp,-22.2,-0.0422518,-6.0,115.0,11.5,10.0,0.200000003,115.0,2014-01-17,425886207,-2.0,115.0,11.5,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Manufacturers,Auto-Med&Heavy Duty Trks,0.07,0.3720247673236048,81.2,6.6
1292387D US,Dobson Communications Corp,,,0.4,550.0,88.2531,22.0,5.113636494,1941.57,2000-02-03,256069105,,550.0,88.2531,0.00900227,15125.0,20 - 22,Priced Within Range,Communications,Telecommunications,Cellular Telecom,5.79,0.592417061611377,111.3,4.1
1293318D US,PayPal Inc,,,,80.73,59.8325,13.0,54.53845978,777.82,2002-02-14,704508100,,80.73,59.8325,,,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.77,0.395256916996071,90.7,5.7
1294243D US,Cogdell Spencer Inc,-2.1,-17.2,-4.6,103.7,8.0004,17.0,0.0,136.01,2005-10-27,19238U107,0.6,103.7,8.0004,,,18 - 20,Priced Below Range,Financial,REITS,REITS-Health Care,3.93,0.201207243460752,74.2,5.0
1297092D US,Infor Global Solutions Massach,41.0,-73.9,-29.4,80.0,21.8477,20.0,256.25,436.954,2000-01-26,302255104,-1.3,80.0,21.8477,,,14 - 16,Priced Above Range,Technology,Software,Applications Software,3.99,0.2970885323826589,112.0,4.0
1310423D US,Silver Eagle Acquisition Corp,,,,325.0,32.5,10.0,0.0,325.0,2013-07-23,827694209,-0.1,325.0,32.5,,,10-Oct,Priced Within Range,Financial,Investment Companies,Investment Companies,0.1,0.039399753323301,85.1,7.3
1311346D US,Morton's Restaurant Group Inc,5.3,0.8,2.3,174.538,16.0985,17.0,5.294117451,273.67,2006-02-09,619430101,0.7,174.538,16.0985,,,14 - 16,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Restaurants,4.47,0.2017145738779499,86.7,4.8
1315920D US,Lindblad Expeditions Holdings,78.6,-81.0,-12.8,180.0,18.0,10.0,0.100000002,180.0,2013-05-10,14056V204,0.6,180.0,18.0,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Leisure Time,Cruise Lines,0.14,0.178040777358723,84.5,7.5
1317066D US,AgroFresh Solutions Inc,5.2,-3.2,-2.4,221.5,22.15,10.0,0.0,221.5,2014-02-13,10157P203,,221.5,22.15,,,,,Basic Materials,Chemicals,Chemicals-Specialty,0.07,0.3697908650968729,81.6,6.7
1321686D US,Wright Medical Group Inc,22.9,-87.1,-24.6,107.812,27.9797,12.5,24.87999916,349.75,2001-07-13,98235T107,-2.3,107.812,27.9797,,,11.50 - 13.50,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,3.95,-0.280898876404488,92.4,4.6
1334197D US,Xtent Inc,,,-107.8,75.2,22.7963,16.0,3.0,364.74,2007-02-01,984141101,-1.6,75.2,22.7963,,,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,5.29,0.535036755987662,91.3,4.5
1349322D US,MLP & Strategic Equity Fund In,,,,290.01,0.0,20.0,0.0,0.0,2007-06-27,55312N106,,290.01,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.23,0.1937975176605649,85.3,4.6
1367507D US,CIFC Corp,-59.9,11.6,0.1,400.0,51.6597,16.0,0.0,826.56,2005-06-29,N.A.,-55.3,400.0,51.6597,,,17 - 19,Priced Below Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,3.02,0.0514403292181003,96.0,5.0
1369764D US,RSC Holdings Inc,23.3,-1.9,1.0,458.333,103.148,22.0,-13.63636398,2269.26,2007-05-23,74972L102,3.1,458.333,103.148,,,23 - 25,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,5.26,0.61107186747047,88.3,4.4
1373473D US,Metabasis Therapeutics Inc,-46.6,-879.7,-56.4,35.0,17.8657,7.0,-4.857142925,125.06,2004-06-16,59101M105,-0.9,35.0,17.8657,,,8-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.02,0.3172924378635659,95.6,5.6
1379842D US,Embarcadero Technologies Inc,,,4.9,42.0,25.72,10.0,60.0,257.2,2000-04-20,290787100,,42.0,25.72,,,13-Nov,Priced Below Range,Technology,Software,Applications Software,6.17,0.058411214953279,109.2,3.8
1384851D US,OPNET Technologies Inc,,,8.4,52.0,17.3066,13.0,42.30769348,224.99,2000-08-02,683757108,,52.0,17.3066,,,14-Dec,Priced Within Range,Technology,Software,Computer Software,6.51,0.0,107.3,4.1
1395066D US,Hiland Partners Holdings LLC,,,-4.9,51.75,2.72,22.5,29.11111069,61.2,2005-02-10,431291103,,51.75,2.72,,,19 - 21,Priced Above Range,Energy,Pipelines,Pipelines,2.4,0.576822233875206,94.1,5.4
139663Q US,Skillsoft US Corp,,,-1.2,43.4,12.5793,14.0,28.5714283,176.11,2000-01-31,83066P101,,43.4,12.5793,,,14-Dec,Priced Within Range,Technology,Software,Applications Software,3.99,0.2970885323826589,112.0,4.0
1403557D US,Gander Mountain Co,,,-1.3,105.34,13.3632,16.0,37.625,213.81,2004-04-21,36471P207,,105.34,13.3632,,,14 - 16,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods,1.03,0.320170757737461,94.2,5.6
1409833D US,Columbia Equity Trust Inc,446.0,-5.2,-1.4,207.0,12.0633,15.0,2.666666746,180.95,2005-06-29,197627102,0.1,207.0,12.0633,,,14 - 16,Priced Within Range,Financial,REITS,REITS-Office Property,3.02,0.0514403292181003,96.0,5.0
1413744D US,Golfsmith International Holdin,10.0,-0.0238086,-0.2,69.0,15.4727,11.5,-3.478260756,177.94,2006-06-15,38168Y103,0.7,69.0,15.4727,,,14 - 16,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods,5.02,0.1975308641975319,84.9,4.6
1416528D US,Cardtronics Inc,,,,120.0,38.5662,10.0,-5.0,385.66,2007-12-11,14161H108,,120.0,38.5662,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,4.66,-0.0670863129647814,75.5,5.0
1435766D US,Register.com Inc,,,2.3,120.0,30.7594,24.0,138.5416718,738.226,2000-03-02,75914G101,,120.0,30.7594,,,19 - 21,Priced Above Range,Communications,Internet,Web Hosting/Design,5.78,0.8244994110718371,107.1,4.0
1440013D US,Cogent Inc,3.1,25.0,3.0,248.4,78.0,12.0,49.83333206,936.0,2004-09-24,19239Y108,0.6,248.4,78.0,,,12-Oct,Priced Within Range,Industrial,Electronics,Identification Sys/Dev,1.53,0.2110817941952519,94.2,5.4
1448479D US,Campus Crest Communities Inc,15.9,-152.4,-3.1,407.288,28.4283,12.5,0.079999998,355.35,2010-10-14,13466Y105,1.0,407.288,28.4283,2.99985,1942600.0,12.50 - 14.50,Priced Within Range,Financial,REITS,REITS-Apartments,0.2,0.1245198888476958,67.7,9.4
1448759D US,Ottawa Savings Bancorp Inc,,,,23.84,0.0,10.0,22.5,0.0,2016-08-10,68955R102,,23.84,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US,0.4,0.0918430107884497,89.8,4.9
1455797D US,TAL International Group Inc,,,,225.0,34.3368,18.0,0.0,618.06,2005-10-12,874083108,,225.0,34.3368,,,20 - 20,Priced Below Range,Industrial,Trucking&Leasing,Transport-Equip&Leasng,3.93,0.201207243460752,74.2,5.0
1467202D US,RailAmerica Inc,,,-0.4,330.0,54.3469,15.0,-8.333333015,815.2,2009-10-13,750753402,,330.0,54.3469,,,16 - 18,Priced Below Range,Industrial,Transportation,Transport-Rail,0.11,0.0963101185818577,70.6,10.0
1468826D US,NFP Corp,,,3.2,239.822,31.4834,23.0,14.13043499,724.12,2003-09-18,63607P208,,239.822,31.4834,,,21 - 23,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,1.01,0.3250270855904668,87.7,6.1
1469085D US,Tessera Technologies Inc,,,,112.125,37.8334,13.0,42.30769348,491.83,2003-11-13,88164L100,,112.125,37.8334,,,11-Sep,Priced Above Range,Technology,Semiconductors,Semiconductor Equipment,1.03,-0.2702702702702639,93.7,5.8
1469138D US,Envision Healthcare Holdings I,23.8,2.6,2.0,1110.9,174.083,23.0,9.347826004,4003.91,2013-08-14,29413U103,1.3,1110.9,174.083,,,20 - 23,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Phys Practice Mgmnt,0.08,0.12029315570472,82.1,7.2
1481878D US,DynCorp International Inc,,,-29.6,375.0,0.0,15.0,-0.400000006,0.0,2006-05-04,26817C101,,375.0,0.0,,,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Services,4.84,0.4962779156327429,79.1,4.6
1482276D US,FMC Technologies Inc,,,,221.0,65.0,20.0,10.0,1300.0,2001-06-14,30249U101,,221.0,65.0,,,,,Energy,Oil&Gas Services,Oil Field Mach&Equip,4.14,0.16882386043895,92.6,4.5
1488164D US,Aames Investment Corp,36.2,-1.6,0.2,342.125,56.07,8.5,9.411765099,476.6,2004-11-02,00253G108,-7.2,342.125,56.07,,,11-Sep,Priced Below Range,Financial,REITS,REITS-Mortgage,1.83,0.0523834468308086,92.8,5.4
1501257D US,RMR Real Estate Income Fund/DE,,,,35.0,0.0,20.0,0.0,0.0,2006-05-26,N.A.,,35.0,0.0,0.00176436,135.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,4.84,0.4962779156327429,79.1,4.6
1508335D US,Life Time Inc,7.0,8.8,4.3,210.622,34.6941,18.5,13.51351357,641.84,2004-06-30,53217R207,6.7,210.622,34.6941,,,17 - 19,Priced Within Range,"Consumer, Cyclical",Leisure Time,Recreational Centers,1.02,0.3172924378635659,95.6,5.6
1509993D US,Nuveen Arizona Dividend Advant,,,,42.375,0.0,15.0,0.06666667,0.0,2002-09-26,6.71E+105,,42.375,0.0,,,15 - 15,Priced Within Range,Funds,Debt Fund,Unclassified,1.81,0.16602102933039,86.1,5.7
1510484D US,Centra Software Inc,,,,70.0,23.2501,14.0,137.5,325.501,2000-02-02,15234X103,,70.0,23.2501,,,10-Aug,Priced Above Range,Communications,Internet,Internet Applic Sftwr,5.79,0.592417061611377,111.3,4.1
1523541D US,Simplicity Bancorp Inc,-9.1,16.2,0.5,56.8675,0.0,10.0,34.90000153,0.0,2004-03-31,828867101,0.9,56.8675,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Western US,1.04,0.644468313641263,95.8,5.8
1529158D US,Numerical Technologies Inc,-4.6,-139.4,-35.8,77.476,29.082,14.0,154.0178528,407.15,2000-04-07,67053T101,0.3,77.476,29.082,,,13-Nov,Priced Above Range,Technology,Computers,Electronic Design Automa,6.17,0.058411214953279,109.2,3.8
1530827D US,Tvia Inc,,,-38.0,55.0,21.1403,11.0,0.0,232.54,2000-08-09,87307P101,,55.0,21.1403,,,13-Nov,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,6.51,0.0,107.3,4.1
1537336D US,Trulia LLC,75.2,-30.0,-11.6,117.3,27.2767,17.0,41.17647171,463.7,2012-09-20,897888103,0.3,117.3,27.2767,,,14 - 16,Priced Above Range,Communications,Internet,E-Commerce/Services,0.13,0.446221226761131,78.3,7.8
