Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
CPX US,SPN Fairway Acquisition Inc/TX,717.6,37.9,12.5,13.2,70.5198,24,12.08333302,1692.48,4/21/06,2.05E+113,,,"22.00
 - 24.00
",Priced Within Range,Oil&Gas Services,Energy,Oil Field Mach&Equip,
XCOOQ US,EXCO Resources Inc,696.998,36.7,-46.4,-19.5,103.615,13,0.3846153915,1346.99,2/8/06,269279501,6.1,,"11.00
 - 13.00
",Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
1914858D US,NeuStar Inc,695.75,15.2,13.9,9,56.1628,22,18.18181801,1235.58,6/29/05,64126X201,6.1,,"18.00
 - 20.00
",Priced Above Range,Computers,Technology,Computer Services,
RFXCQ US,Refco Inc,670.45,99.3,4.7,,127.5,22,24.90909004,2805,8/11/05,75866G109,,,"19.00
 - 21.00
",Priced Above Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,
DRC US,Dresser-Rand Group Inc,652.05,-7.2,4.3,2.3,85.4449,21,8.571428299,1794.34,8/5/05,261608103,3.3,158917,"19.00
 - 21.00
",Priced Within Range,Oil&Gas Services,Energy,Oil Field Mach&Equip,0.206577
CCO US,Clear Channel Outdoor Holdings Inc,630,4.9,-11.9,-3.7,35,18,5.555555344,630,11/14/05,18453H106,0.1,4.20E+08,"20.00
 - 22.00
",Priced Below Range,Advertising,Communications,Advertising Sales,84.5654
9977553D US,Clear Channel Outdoor Holdings Inc/old,630,,,,35,18,3.055555582,630,11/11/05,18451C109,,,"20.00
 - 22.00
",Priced Below Range,Advertising,Communications,Advertising Sales,
577080Z US,Texas Genco Inc,600,,,,0,0,,0, ,N.A.,,, ,,Electric,Utilities,Electric-Generation,
SPSNQ US,Spansion Inc/Old,567.168,-38.1,-36.4,0.1,90.7294,12,12.91666698,1088.75,12/16/05,84649R101,1.4,,"13.00
 - 14.00
",Priced Below Range,Semiconductors,Technology,Electronic Compo-Semicon,
1800354D US,Warner Music Group Corp,554.2,6.4,6.7,5.6,143.02,17,-3.529411793,2431.34,5/10/05,934550104,,,"22.00
 - 24.00
",Priced Below Range,Entertainment,"Consumer, Cyclical",Music,
MGG US,Magellan Midstream Holdings LP,539,,,2.4,62.6465,24.5,-2.040816307,1534.84,2/9/06,55907R108,,,"23.00
 - 25.00
",Priced Within Range,Pipelines,Energy,Pipelines,
HXN US,Hexion Inc,532,-25.6,-9.1,1.6,86.3304,0,,0, ,428300107,,,"25.00
 - 28.00
",,Chemicals,Basic Materials,Chemicals-Specialty,
ISBC US,Investors Bancorp Inc,516.271,-8.2,37.5,1.1,0,10,0.200000003,0,10/11/05,46146L101,2.1,11446,"10.00
 - 10.00
",Priced Within Range,Savings&Loans,Financial,S&L/Thrifts-Eastern US,0.00459608
ZZ US,Sealy Corp,515.2,,,0.00103921,90.7342,16,9.375,1451.75,4/7/06,812139301,,,"14.00
 - 16.00
",Priced Within Range,Home Furnishings,"Consumer, Cyclical",Home Furnishings,
ET US,Energy Transfer LP,507.15,5.2,5.8,4,139.655,21,7.857142925,2932.76,2/2/06,29273V100,3.3,1.18E+09,"19.00
 - 21.00
",Priced Within Range,Pipelines,Energy,Pipelines,34.5107
535683Z US,Orange Hospitality Inc,480.987,,,,0,0,,0, ,685028102,,,"14.25
 - 14.25
",,REITS,Financial,REITS-Hotels,
ICE US,Intercontinental Exchange Inc,478.325,16.1,29.6,2,55.4668,26,50.96154022,1442.14,11/16/05,45866F104,8,5.50E+08,"24.00
 - 26.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Other Services,95.7704
1938828D US,Rockwood Holdings Inc,469.388,4,120.4,12.1,73.7789,20,0,1475.58,8/17/05,774415103,4.7,10556,"23.00
 - 26.00
",Priced Below Range,Chemicals,Basic Materials,Chemicals-Diversified,0.014812
JLA US,Nuveen Equity Premium Advantage Fund,464,,,,0,20,0,0,5/26/05,6706ET107,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
ETB US,Eaton Vance Tax-Managed Buy-Write Income Fund,450,,,,0,20,0,0,4/27/05,27828X100,,8.04E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,27.3701
WNR US,Western Refining Inc,439.875,-20.8,1.6,1.8,66.443,17,9.352941513,1129.53,1/19/06,959319104,3.8,,"15.00
 - 17.00
",Priced Within Range,Oil&Gas,Energy,Oil Refining&Marketing,
JCG US,J Crew Group LLC,432.4,4.6,-4.8,-9.8,54.884,20,27.75,1097.68,6/28/06,46612H402,,25800,"15.00
 - 17.00
",Priced Above Range,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,
MGU US,Macquarie Global Infrastructure Total Return Fund Inc,425,,,,0,25,0.03999999911,0,8/26/05,55608D101,,670898,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,5.38083
0967702D US,HealthSpring Inc,421.59,,,10.9,57.2896,19.5,12.71794891,1117.15,2/3/06,42224N101,,,"16.00
 - 18.00
",Priced Above Range,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&Testing Srv,
EEF US,BlackRock Enhanced Equity Yield Fund Inc,402,,,,0,20,0.05000000075,0,4/27/05,09256C105,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
1367507D US,CIFC Corp,400,-59.9,11.6,0.1,51.6597,16,0,826.56,6/29/05,N.A.,-55.3,,"17.00
 - 19.00
",Priced Below Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
NWW US,National Waterworks Holdings Inc,400,,,,0,0,,0,9/22/05,N.A.,,, ,,Metal Fabricate/Hardware,Industrial,Metal Products-Distrib,
9893105Q US,Enterprise GP Holdings LP,398.07,,,0.8,86.6673,28,16.25,2426.68,8/24/05,293716106,,, ,,Pipelines,Energy,Pipelines,
1481878D US,DynCorp International Inc,375,,,-29.6,0,15,-0.400000006,0,5/4/06,26817C101,,,"15.00
 - 17.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Commercial Services,
FOCAX US,AIG Focused Growth Fund,370,,,,0,20,0,0,7/26/05,86704E800,,,"20.00
 - 20.00
",Priced Within Range,Equity Fund,Funds,Growth,
MHGC US,Morgans Hotel Group Co LLC,360,-6,10,5,33.5,20,-0.5500000119,670,2/13/06,61748W108,0.1,,"19.00
 - 21.00
",Priced Within Range,Lodging,"Consumer, Cyclical",Hotels&Motels,
GLBM LN,Globe Specialty Metals Inc,354.845,,,,0,6,4885.754883,0, ,N.A.,,, ,,Mining,Basic Materials,Non-Ferrous Metals,
GGN US,GAMCO Global Gold Natural Resources & Income Trust,352,,,,0,20,0.05000000075,0,3/29/05,36465A109,,1.72E+07, ,,Closed-end Funds,Financial,Closed-end Funds,11.0292
TYY US,Tortoise Energy Capital Corp,350,,,,0,25,0,0,5/26/05,89147U100,,,"25.00
 - 25.00
",Priced Within Range,Investment Companies,Financial,Investment Companies,
IGA US,Voya Global Advantage and Premium Opportunity Fund,345,,,,0,20,0.05000000075,0,10/27/05,92912R104,,5.69E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,37.0907
TBR US,Taberna Realty Finance Trust,345,,,,0,0,,0, ,87330T302,,, ,,REITS,Financial,REITS-Diversified,
CHAPQ US,Chaparral Energy Inc,345,-4.4,-198.4,-79.9,0,0,,0, ,15942R208,2.4,435, ,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,0.000910229
3296037Q US,BlackRock Enhanced Equity Yield & Premium Fund Inc,344,,,,0,20,0,0,6/27/05,9.26E+104,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
1866165D US,Small Cap Premium & Dividend Income Fund Inc,340,,,,0,20,0,0,7/26/05,83165P101,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
GLQ US,Clough Global Equity Fund,335,,,,0,20,0.05000000075,0,4/27/05,18914C100,,7.20E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,38.4129
ITC US,ITC Holdings Corp,330.625,5.1,29.7,3.6,33.2178,23,14.78260899,764.01,7/26/05,465685105,3.7,,"19.00
 - 21.00
",Priced Above Range,Electric,Utilities,Electric-Transmission,
SPXX US,Nuveen S&P 500 Dynamic Overwrite Fund,330,,,,0,20,0,0,11/23/05,6706EW100,,4.83E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,26.8728
0212710D US,K&F Industries Holdings Inc,327.423,,,3.7,39.5859,17.5,-0.571428597,692.75,8/8/05,482241106,,,"16.00
 - 18.00
",Priced Within Range,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,
DRH US,DiamondRock Hospitality Co,312.751,5.1,4.2,1.5,48.2376,10.5,0.9523809552,506.495,5/26/05,252784301,1,2.34E+08,"10.50
 - 12.50
",Priced Within Range,REITS,Financial,REITS-Hotels,112.305
AHGP US,Alliance Holdings GP LP,312.5,-7,10.3,10.5,59.863,25,0,1496.58,5/10/06,01861G100,9.2,13947,"23.00
 - 25.00
",Priced Within Range,Coal,Energy,Coal,0.0232982
DBI US,Designer Brands Inc,307.266,-2.1,-0.3,-0.5,14.1625,19,26.84210587,269.09,6/29/05,250565108,1.5,4.24E+07,"15.00
 - 17.00
",Priced Above Range,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,105.478
0629379D US,Boise Cascade Holdings LLC,304,,5.6,,67,0,,0, ,97380109,11.2,,"17.00
 - 19.00
",,Building Materials,Industrial,Bldg&Construct Prod-Misc,
BOE US,BlackRock Enhanced Global Dividend Trust,300,,,,0,25,0,0,5/26/05,92501105,,2.90E+07,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,50.9174
1920137D US,Reliant Pharmaceuticals Inc,300,,,,0,0,,0, ,75953J107,,, ,,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Generic Drugs,
309194Z US,Coffeyville Resources LLC,300,,,,0,0,,0, ,19237P109,,, ,,Oil&Gas,Energy,Oil Refining&Marketing,
645973Z US,Activant Solutions Holdings Inc,300,,,,0,0,,0, ,00507A105,,, ,,Software,Technology,Enterprise Software/Serv,
EXXS LN,Energy XXI Ltd,300,-46.3,-264.4,-65.8,62.5,6,-12.66666698,375, ,N.A.,,, ,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
BWP US,Boardwalk Pipeline Partners LP,292.5,25.3,25.1,5.2,68.2561,19.5,-2.820512772,1330.99,11/9/05,96627104,3.6,825709,"18.50
 - 20.50
",Priced Within Range,Pipelines,Energy,Pipelines,0.329892
BASXQ US,Basic Energy Services Inc,287.5,-27.4,-65.1,-39,33.7854,20,80,675.71,12/8/05,06985P209,-0.8,,"18.00
 - 20.00
",Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,
1793839D US,Regency Energy Partners LP,283,92.7,-3.2,-1,19.5039,20,-0.9499999881,390.08,1/31/06,75885Y107,2,,"19.00
 - 21.00
",Priced Within Range,Pipelines,Energy,Pipelines,
ROYu CN,Royster-Clark Ltd,269.165,,,,0,10,-0.400000006,0, ,780883302,,, ,,Chemicals,Basic Materials,Agricultural Chemicals,
RUTH US,Ruth's Hospitality Group Inc,269.1,17.8,7.6,7.7,22.4124,18,15,403.42,8/9/05,783332109,2,2.59E+06,"15.00
 - 17.00
",Priced Above Range,Retail,"Consumer, Cyclical",Retail-Restaurants,8.05843
1919709D US,IHS Inc,267.076,5,11,3.9,43.3193,16,6.875,693.11,11/11/05,451734107,8.9,117567,"14.50
 - 16.50
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Commercial Services,0.174296
TDG US,TransDigm Group Inc,264.551,20.5,21.5,8.6,45.8448,21,14.76190472,962.74,3/15/06,893641100,35.3,6.58E+07,"20.00
 - 22.00
",Priced Within Range,Aerospace/Defense,Industrial,Aerospace/Defense,117.268
LINEQ US,Linn Energy LLC,261.45,-25.7,-165,,27.8125,21,4.761904716,584.06,1/13/06,536020100,3.6,,"19.00
 - 21.00
",Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
1384886D CN,Primary Energy Recycling Corp,256.308,3.4,-3.3,-3.8,0,10,0,0, ,74158D700,0.5,, ,,Energy-Alternate Sources,Energy,Energy-Alternate Sources,
8190077Q US,Natural Resource Partners LP,256.2,-16.5,74.9,23.3,11.3537,61,-6.557376862,692.58,8/10/05,63900P509,19.1,, ,,Coal,Energy,Coal,
EVRI US,Everi Holdings Inc,255.967,-6.1,1.9,0.7,82.7192,14,6.857142925,1158.07,9/23/05,30034T103,3.7,8.68E+07,"12.00
 - 14.00
",Priced Within Range,Entertainment,"Consumer, Cyclical",Casino Services,100.43
EGF US,BlackRock Enhanced Government Fund Inc,254,,,,0,20,0,0,10/27/05,09255K108,,2.71E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,76.2341
WLSC US,Williams Scotsman International Inc,251.613,,,3.3,38.7191,16,-0.125,619.51,9/20/05,96950G102,,,"16.00
 - 18.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Rental Auto/Equipment,
JERTQ US,JER Investors Trust Inc,249.308,-42.3,-123.3,-23.8,23.845,17.75,3.098591566,423.25,7/14/05,46614H400,6.4,,"16.50
 - 18.50
",Priced Within Range,REITS,Financial,REITS-Mortgage,
WRSPQ US,WorldSpace Inc,249.236,-11.7,-1229.7,-42.5,20.7571,21,6.476190567,435.9,8/4/05,981579105,-2.6,,"18.00
 - 20.00
",Priced Above Range,Media,Communications,Radio,
GAIN US,Gladstone Investment Corp,248.4,7,97.7,6.9,0,15,0.2666666806,0,6/23/05,376546107,-2,5.56E+06,"15.00
 - 15.00
",Priced Within Range,Investment Companies,Financial,Investment Companies,15.0895
GNKOQ US,Genco Shipping & Trading Ltd,246.96,10.2,18,6.9,25.26,21,-0.6190476418,530.46,7/22/05,N.A.,2.9,,"22.00
 - 23.00
",Priced Below Range,Transportation,Industrial,Transport-Marine,
MFB US,Maidenform Brands LLC,246.736,-1,5.5,5.4,23.4115,17,16.76470566,398,7/22/05,560305104,1.3,,"14.00
 - 16.00
",Priced Above Range,Apparel,"Consumer, Cyclical",Apparel Manufacturers,
TRXAQ US,Tronox Inc/Old,244.72,0.3,-7.4,-7.6,22.8894,14,2.142857075,320.45,11/22/05,897051108,2.3,,"14.00
 - 16.00
",Priced Within Range,Chemicals,Basic Materials,Chemicals-Specialty,
BKD US,Brookdale Senior Living Inc,241.923,3.6,-6.4,-3.3,64.9,19,33.84210587,1233.1,11/22/05,112463104,0.7,2.28E+08,"17.00
 - 19.00
",Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Retirement/Aged Care,113.895
NKT US,Newkirk Realty Trust Inc,240,-6.6,19.1,,19.375,16,-5.9375,310,11/2/05,651497109,7.3,,"19.00
 - 21.00
",Priced Below Range,REITS,Financial,REITS-Diversified,
RPB US,Republic Property Trust,240,87.2,-7.2,-1.8,25.034,12,0,300.41,12/15/05,760737106,0.8,,"14.00
 - 16.00
",Priced Below Range,REITS,Financial,REITS-Office Property,
CROX US,Crocs Inc,239.085,3.5,23.1,20,38.2722,21,35.95238113,803.72,2/8/06,227046109,16.7,5.86E+07,"19.00
 - 20.00
",Priced Above Range,Apparel,"Consumer, Cyclical",Footwear&Related Apparel,104.502
NAI US,AllianzGI International & Premium Strategy Fund,237.5,,,,0,25,0.03999999911,0,4/26/05,01882X108,,,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
PGP US,PIMCO Global StocksPLUS & Income Fund,232.5,,,,0,25,0.200000003,0,5/27/05,722011103,,1.80E+06, ,,Closed-end Funds,Financial,Closed-end Funds,15.5747
833574Q US,Aearo Technologies LLC,230,,,,0,0,,0, ,N.A.,,, ,,Healthcare-Products,"Consumer, Non-cyclical",Healthcare Safety Device,
HEES US,H&E Equipment Services Inc,226.397,3.2,8.1,4.5,38.0701,18,28.33333397,685.26,1/31/06,404030108,13.6,3.22E+07,"15.00
 - 17.00
",Priced Above Range,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale,87.844
0216051D US,New Skies Satellites Holdings US LLC,225.802,,-0.5,,30.6037,16.5,0.4848484993,504.96,5/10/05,N.A.,4.5,,"18.00
 - 20.00
",Priced Below Range,Telecommunications,Communications,Satellite Telecom,
BLDR US,Builders FirstSource Inc,225.4,-4,6.5,10.2,32.6482,16,-3.5,522.37,6/22/05,12008R107,15.8,1.20E+08,"15.00
 - 17.00
",Priced Within Range,Building Materials,Industrial,Bldg&Construct Prod-Misc,105.719
DPD US,Dow 30 Premium & Dividend Income Fund Inc,225,,,,0,20,0,0,4/27/05,260582101,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
1455797D US,TAL International Group Inc,225,,,,34.3368,18,0,618.06,10/12/05,874083108,,,"20.00
 - 20.00
",Priced Below Range,Trucking&Leasing,Industrial,Transport-Equip&Leasng,
DCP US,DCP Midstream LP,222.525,37.5,7,6.7,10.3571,21.5,7.209302425,222.68,12/2/05,23311P100,9,,"19.00
 - 21.00
",Priced Above Range,Pipelines,Energy,Pipelines,
PIKE US,Pike Corp,217.35,-11.7,1.6,1.6,31.8329,14,2.571428537,445.66,7/27/05,721283109,1.5,809593,"14.00
 - 16.00
",Priced Within Range,Electric,Utilities,Electric-Integrated,2.52312
RDDYQ US,Reddy Ice Holdings Inc/Old,217.005,4.1,-21.1,-17.3,21.6807,18.5,4.378378391,401.09,8/10/05,75734R105,-0.9,,"16.00
 - 18.00
",Priced Above Range,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,
2553281D US,Evergreen International Balanced Income Fund,215,,,,0,20,0,0,10/27/05,30024R109,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
VQ US,Venoco LLC,214.429,-37.9,-333.5,-102.6,42.6925,17,0,725.77,11/17/06,92275P307,,,"19.00
 - 21.00
",Priced Below Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
HEROQ US,Hercules Offshore Inc,211.6,-62.7,-186.5,-39.7,30.2428,20,9.5,604.86,10/27/05,427093307,-1.8,,"18.00
 - 20.00
",Priced Within Range,Oil&Gas,Energy,Oil&Gas Drilling,
JFP US,Nuveen Tax-Advantaged Floating Rate Fund,207.525,,,,0,15,0,0,3/29/05,6706EV102,,,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
1409833D US,Columbia Equity Trust Inc,207,446,-5.2,-1.4,12.0633,15,2.666666746,180.95,6/29/05,197627102,0.1,,"14.00
 - 16.00
",Priced Within Range,REITS,Financial,REITS-Office Property,
ARII US,American Railcar Industries Inc,205.275,-25.3,29.8,9.9,21.2078,21,9.309523582,445.36,1/20/06,02916P103,6.8,,"16.00
 - 18.00
",Priced Above Range,Miscellaneous Manufactur,Industrial,Miscellaneous Manufactur,
1542390D US,Midlantic Office Trust Inc,204,,,,13.0688,0,,0, ,59781A108,,,"14.00
 - 16.00
",,REITS,Financial,REITS-Office Property,
CODI US,Compass Diversified Holdings,202.5,11.8,0.5,0.3,20,15,0.200000003,300,5/11/06,20451Q104,-0.9,5.85E+07,"14.00
 - 16.00
",Priced Within Range,Investment Companies,Financial,Investment Companies,77.8141
2564111D US,Eagle Bulk Shipping Inc,201.6,-45.2,5.7,1.9,27.15,14,-3.571428537,380.1,6/23/05,N.A.,5,2.54E+06,"16.00
 - 18.00
",Priced Below Range,Transportation,Industrial,Transport-Marine,22.9187
569437Z US,Globe Specialty Metals Inc,201,,,,41.875,0,,0, ,N.A.,,,"6.00
 - 6.00
",,Mining,Basic Materials,Non-Ferrous Metals,
3234877Q US,IGN Entertainment Inc,200,,,,0,0,,0, ,N.A.,,, ,,Internet,Communications,Web Portals/ISP,
CMG US,Chipotle Mexican Grill Inc,199.333,14.6,13.5,17.7,7.87879,22,100,173.33,1/26/06,169656105,1.5,1.26E+09,"18.00
 - 20.00
",Priced Above Range,Retail,"Consumer, Cyclical",Retail-Restaurants,92.9446
BOT US,CBOT Holdings Inc,198.191,,,23.8,52.3282,54,48.70370483,2825.72,10/18/05,14984K106,,,"45.00
 - 49.00
",Priced Above Range,Diversified Finan Serv,Financial,Finance-Other Services,
2318580D US,Dealertrack Technologies Inc,195.5,77.4,-2,-1.5,33.8489,17,13.23529434,575.43,12/13/05,242309102,0.5,,"14.00
 - 16.00
",Priced Above Range,Software,Technology,Applications Software,
SFLAX US,AIG Focused Alpha Large-Cap Fund,193,,,,0,20,,0,12/23/05,86704E503,,, ,,Equity Fund,Funds,Aggressive Growth,
EVVV US,ev3 Inc,189.417,,,6.5,48.9097,14,1.071428537,684.74,6/16/05,26928A200,,,"16.00
 - 18.00
",Priced Below Range,Healthcare-Products,"Consumer, Non-cyclical",Medical Instruments,
ALJ US,Alon USA Energy Inc,187.68,-9.7,-2.1,-1.8,45.2011,16,7.8125,723.22,7/28/05,20520102,0.8,,"14.00
 - 16.00
",Priced Within Range,Oil&Gas,Energy,Oil Refining&Marketing,
BME US,BlackRock Health Sciences Trust,187.5,,,,0,25,0,0,3/29/05,09250W107,,3.22E+06,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,24.9482
RAIL US,FreightCar America Inc,185.725,56.2,-13.5,-31.3,12.5327,19,10.68421078,238.12,4/6/05,357023100,1.4,8.22E+06,"16.00
 - 18.00
",Priced Above Range,Miscellaneous Manufactur,Industrial,Miscellaneous Manufactur,43.1051
BEO US,Enhanced S&P 500 Covered Call Fund Inc,185,,,,0,20,0,0,9/28/05,29332W107,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
NTLS US,NTELOS Holdings Corp,184.5,0.7,-3.3,-4.2,15.375,12,-0.4166666567,184.5,2/9/06,67020Q305,0.2,,"15.00
 - 17.00
",Priced Below Range,Telecommunications,Communications,Cellular Telecom,
UAA US,Under Armour Inc,181.254,-3.4,4,-2.6,31.1767,13,94.61538696,405.3,11/18/05,904311107,0.8,2.02E+08,"10.00
 - 12.00
",Priced Above Range,Apparel,"Consumer, Cyclical",Apparel Manufacturers,106.742
1885525D US,VeriFone Systems Inc,177.1,-6,-9.2,-3.2,65.0548,10,7.5,650.55,4/29/05,92342Y109,1.4,,"10.00
 - 10.00
",Priced Within Range,Computers,Technology,Computers-Integrated Sys,
1780601D US,First Trust Strategic High Income Fund,176,,,,0,20,0,0,7/26/05,337347108,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
GEOL US,Agility Holdings Inc,175,,,,0,0,,0, ,37246H108,,, ,,Transportation,Industrial,Transport-Services,
1311346D US,Morton's Restaurant Group Inc,174.538,5.3,0.8,2.3,16.0985,17,5.294117451,273.67,2/9/06,619430101,0.7,,"14.00
 - 16.00
",Priced Above Range,Retail,"Consumer, Cyclical",Retail-Restaurants,
JAZ/U US,Tower US Holdings Inc,172.5,33,-5,9.6,34.4571,6,13.33333302,206.743,3/14/06,4.72E+205,,,"6.00
 - 6.00
",Priced Within Range,Semiconductors,Technology,Semicon Compo-Intg Circu,
14361Z US,Team Health Inc,172.5,,,7.1,0,0,,0, ,N.A.,,, ,,Commercial Services,"Consumer, Non-cyclical",Human Resources,
CYRV US,Crystal River Capital Inc,172.5,,,-1.7,25.0235,23,-2.347826004,575.54,7/28/06,229393301,,,"26.00
 - 29.00
",Priced Below Range,Private Equity,Financial,Private Equity,
SMOD US,SMART Worldwide Holdings Inc,163.636,59.3,7.4,5.2,58.2444,9,-5.111111164,524.2,2/3/06,N.A.,0.2,,"10.00
 - 12.00
",Priced Below Range,Computers,Technology,Computers-Memory Devices,
915494Q US,PAETEC LLC,161.538,,,,32.9726,0,,0, ,695458307,,,"12.00
 - 14.00
",,Telecommunications,Communications,Telecom Services,
KOP US,Koppers Holdings Inc,161,-2.8,2.5,2.8,20.7142,14,12.5,290,2/1/06,50060P106,5.7,2.10E+07,"14.00
 - 16.00
",Priced Within Range,Chemicals,Basic Materials,Chemicals-Diversified,104.501
614818Z US,FutureFuel Corp,160,-33.9,6.3,5,25,0,,0, ,N.A.,,,"8.00
 - 8.00
",,Energy-Alternate Sources,Energy,Energy-Alternate Sources,
SPWRQ US,SunPower Corp,159.39,-3.2,-14.6,-15.6,0,18,41.38888931,139.98,11/17/05,867652406,-0.8,1.03E+07,"12.00
 - 14.00
",Priced Above Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,4.11409
ARXT US,Adams Respiratory Therapeutics Inc,155.423,38.6,9.2,13.1,31.9682,17,51.47058868,543.46,7/20/05,00635P107,0.1,,"14.00
 - 16.00
",Priced Above Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,
