Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
FSD US,First Trust High Income Long/Short Fund,645,,,,0,20,0,0,9/28/10,3.37E+113,,583148,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,1.75167
YPI US,Younan Properties Inc,575,,,,0,0,,0, ,98742T103,,, ,,Real Estate,Financial,Real Estate Oper/Develop,
1816375D US,Caesars Holdings Inc,531.25,4.1,-13.6,-3,0,0,,0, ,127686103,1.4,,"15.00
 - 17.00
",,Lodging,"Consumer, Cyclical",Casino Hotels,
NBB US,Nuveen Taxable Municipal Income Fund,527.25,,,,0,20,0,0,4/28/10,67074C103,,1.25E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,42.4088
DLC US,DLC Realty Trust Inc,520,-1,-11,,0,0,,0, ,23327U101,,,"12.00
 - 13.00
",,REITS,Financial,REITS-Shopping Centers,
LPLA US,LPL Financial Holdings Inc,516.696,23.2,8.5,8.9,107.184,30,7.166666508,3215.52,11/18/10,50212V100,3.7,8.33E+07,"27.00
 - 30.00
",Priced Within Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,105.009
WPZ US,Williams Partners LP,513.188,,14.2,1.4,72.2635,21,6.666666508,1517.53,7/29/10,96949L105,3,1.26E+06,"19.00
 - 21.00
",Priced Within Range,Pipelines,Energy,Pipelines,0.131933
3606054Z US,Goodman Global Group Inc,500,,,,0,0,,0, ,N.A.,,, ,,Building Materials,Industrial,Bldg Prod-Air&Heating,
KMF US,Kayne Anderson NextGen Energy,475,,,,19.004,25,0,475.1,11/24/10,4.87E+112,,9.99E+06,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,21.1711
AMC US,AMC Entertainment Holdings Inc,450,-3.6,-7.6,-4,0,0,,0, ,00165C302,-0.1,1.66E+08, ,,Entertainment,"Consumer, Cyclical",Theaters,38.4333
JMF US,Nuveen Energy MLP Total Return Fund,443,,,,0,20,0.05000000075,0,2/24/11,67074U103,,4.88E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,11.9571
SCRT US,Schottenstein Realty Trust Inc,426.667,7.9,6,,46.9251,0,,0, ,808040109,,,"14.00
 - 16.00
",,REITS,Financial,REITS-Shopping Centers,
HYI US,Western Asset High Yield Defined Opportunity Fund Inc,420,,,,0,20,0.05000000075,0,10/27/10,95768B107,,8.47E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,37.3716
TRGP US,Targa Resources Corp,414.289,2,8,6,44.7483,22,12.27272701,984.46,12/7/10,87612G101,16.5,2.15E+08,"19.00
 - 21.00
",Priced Above Range,Pipelines,Energy,Pipelines,98.9302
GNCIQ US,GNC Holdings Inc,414,-12.1,-1.7,-21.8,87.4447,16,4.6875,1399.12,4/1/11,36191G107,1.1,4.59E+06,"15.00
 - 17.00
",Priced Within Range,Retail,"Consumer, Cyclical",Retail-Vitamins/Nutr Sup,5.4633
MCPIQ US,Molycorp Inc,412.93,-14.2,-127.1,-33.4,81.25,14,-8.214285851,1137.5,7/29/10,608753109,-0.9,,"14.00
 - 14.00
",Priced Within Range,Mining,Basic Materials,Metal-Diversified,
1448479D US,Campus Crest Communities Inc,407.288,15.9,-152.4,-3.1,28.4283,12.5,0.07999999821,355.35,10/14/10,13466Y105,1,,"12.50
 - 14.50
",Priced Within Range,REITS,Financial,REITS-Apartments,
FBBC US,Fortune Bank,400,,,,0,0,,0, ,34964A100,,,"8.00
 - 10.00
",,Banks,Financial,Commer Banks-Western US,
1327084D US,Tenerity Inc,400,-3.3,43.1,41.7,0,0,,0, ,8294100,,8150, ,,Advertising,Communications,Direct Marketing,0.0652029
CBOE US,Cboe Global Markets Inc,390.195,8,36.9,10,104.321,29,12.03448296,3025.31,6/15/10,12503M108,10.4,1.05E+08,"27.00
 - 29.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Other Services,99.9321
IHD US,Voya Emerging Markets High Income Dividend Equity Fund,385,,,,0,20,0,0,4/27/11,92912P108,,1.01E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,56.8663
PGEM US,Ply Gem Holdings Inc,381.316,7.5,3.3,5.3,67.1204,21,10.95238113,1409.53,5/23/13,72941W100,1.4,,"18.00
 - 20.00
",Priced Above Range,Building Materials,Industrial,Bldg Prod-Doors&Windows,
ECMR US,ECM Realty Trust Inc,380,16.2,2,,0,0,,0, ,268273109,,, ,,Real Estate,Financial,Real Estate Oper/Develop,
THO CN,Tahoe Resources Inc,378.168,-6.4,11.1,-7.6,109.7,6,4.166666508,650.236, ,873868103,0.7,6.11E+07, ,,Mining,Basic Materials,Silver Mining,19.4921
EDF US,Virtus Stone Harbor Emerging Markets Income Fund,377.5,,,,0,25,0,0,12/23/10,86164T107,,1.40E+07,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,45.6933
WLS US,Welsh Property Trust LLC,375.789,-9.8,-45,,35.7895,0,,0, ,950446104,,,"8.50
 - 10.50
",,REITS,Financial,REITS-Diversified,
UAN US,CVR Partners LP,353.28,-22.9,11.5,6.1,73,16,9.6875,1168,4/8/11,126633205,14.2,1.65E+06,"12.00
 - 14.00
",Priced Above Range,Chemicals,Basic Materials,Agricultural Chemicals,15.6469
QRE US,QR Energy LP,345,22.4,13.3,3.4,30.7977,20,-2,615.95,12/17/10,74734R108,3.4,,"19.00
 - 21.00
",Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
RDGE US,Ridgebury Tankers Ltd,340.8,,,,0,0,,0, ,765758206,,, ,,Transportation,Industrial,Transport-Marine,
GBAB US,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust,340,,,,0,20,0,0,10/27/10,401664107,,6.46E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,24.0321
CPAY US,Corpay Inc,335.255,5.7,25.2,6,78.7191,23,18.47826004,1810.54,12/15/10,219948106,27.5,7.32E+07,"23.00
 - 26.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,104.231
1904163D US,Fresh Market Inc/The,333.329,5.9,3.5,11.7,49.9673,22,45.95454407,1099.28,11/5/10,35804H106,3,,"18.00
 - 20.00
",Priced Above Range,Food,"Consumer, Non-cyclical",Food-Retail,
FRCB US,First Republic Bank/CA,322.575,,28.3,0.8,0,25.5,9.490196228,0,12/9/10,33616C100,1.3,4.38E+07,"24.00
 - 27.00
",Priced Within Range,Banks,Financial,Commer Banks-Western US,23.5293
2297634D US,CoreSite Realty Corp,310.96,5.9,13,4,19.644,16,0.0625,314.3,9/23/10,21870Q105,6.7,6368,"15.00
 - 17.00
",Priced Within Range,REITS,Financial,REITS-Diversified,0.0144087
BSL US,Blackstone Senior Floating Rate 2027 Term Fund,302.6,,,,0,20,0,0,5/26/10,09256U105,,4.04E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,31.0851
1948252D US,IDI Logistics Realty,300,,,,0,0,,0,3/14/11,N.A.,,, ,,REITS,Financial,REITS-Diversified,
AFT US,Apollo Senior Floating Rate Fund Inc,300,,,,0,20,0,0,2/24/11,37636107,,789451,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,5.06917
PSF US,Cohen & Steers Select Preferred and Income Fund Inc,292.5,,,,0,25,0.3995000124,0,11/24/10,19248Y107,,2.64E+06,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,22.0298
HEQ US,John Hancock Diversified Incom,292.3,,,,0,20,0.1000000015,0,5/26/11,47804L102,,4.82E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,39.8478
PNG US,PAA Natural Gas Storage LP,289.777,13,18.9,3.7,31.5845,21.5,8.13953495,679.07,4/30/10,693139107,1.4,, ,,Oil&Gas Services,Energy,Oil-Field Services,
USFP US,Us Federal Properties Trust Inc,288.75,,32.6,,13.9613,0,,0, ,91732L107,,,"19.00
 - 21.00
",,REITS,Financial,REITS-Diversified,
BAH US,Booz Allen Hamilton Holding Corp,273.7,15.1,5.6,13,122.722,17,13.23529434,2086.27,11/17/10,99502106,1.9,1.31E+08,"17.00
 - 19.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Consulting Services,103.189
EXPRQ US,Express Inc,272,-0.5,-11.2,-15.5,88.7359,17,-1.470588207,1508.51,5/13/10,3.02E+206,-15.2,697141,"18.00
 - 20.00
",Priced Below Range,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,18.6067
VOC US,Voc Energy Trust,267.704,-17.2,91.1,98.3,17,21,0,357,5/5/11,91829B103,,4.83E+06,"19.00
 - 21.00
",Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,28.4188
ARX US,Aeroflex Holding Corp,267.154,-3.8,-16.1,-5.9,82.25,13.5,0,1110.38,11/19/10,7767106,0.8,,"13.50
 - 15.50
",Priced Within Range,Semiconductors,Technology,Semicon Compo-Intg Circu,
TSLA US,Tesla Inc,260.015,0.9,7.2,6.2,95.104,17,40.52941132,1616.77,6/29/10,88160R101,4.6,1.62E+09,"14.00
 - 16.00
",Priced Above Range,Auto Manufacturers,"Consumer, Cyclical",Auto-Cars/Light Trucks,50.2469
INN US,Summit Hotel Properties Inc,253.5,-0.5,5.9,1.5,27.278,9.75,-0.6153846383,265.96,2/9/11,866082100,1.5,1.26E+08,"10.50
 - 12.50
",Priced Below Range,REITS,Financial,REITS-Hotels,113.08
2082529D US,Richmond Honan Medical Properties Inc,252,5.2,16,,19.967,0,,0, ,764759106,,,"9.00
 - 9.00
",,Real Estate,Financial,Real Estate Oper/Develop,
1827295D US,Aveon Group LP/The,251.2,,,,19.625,0,,0, ,05358T103,,,"14.00
 - 16.00
",,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
HPP US,Hudson Pacific Properties Inc,250.24,-11.5,-43.2,-4.3,24.828,17,2.352941275,422.08,6/24/10,444097109,1.1,1.67E+08,"17.00
 - 19.00
",Priced Within Range,REITS,Financial,REITS-Office Property,118.127
1789Q US,NCL Corp Ltd,250,10.8,7.4,3.5,0,0,,0, ,N.A.,,, ,,Leisure Time,"Consumer, Cyclical",Cruise Lines,
BGX US,Blackstone Long-Short Credit Income Fund,250,,,,0,20,0,0,1/27/11,09257D102,,7.75E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,60.9947
3568676Z US,Nuveen Commodities Income & Growth Master Fund LLC,250,,,,0,0,,0,3/23/11,N.A.,,,"25.00
 - 25.00
",,Closed-end Funds,Financial,Closed-end Funds,
RBSC US,Reunion Hospitality Trust Inc,250,,,,0,0,,0,3/23/11,76133F106,,, ,,Lodging,"Consumer, Cyclical",Hotels&Motels,
GLBR US,Global Brokerage Inc,242.466,-20,21.9,-2.2,17.319,14,6.071428776,242.47,12/2/10,37891B109,3.9,,"13.00
 - 15.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,
NTSP US,NetSpend Holdings Inc,234.481,14.7,5.3,13.3,84.5159,11,18.18181801,929.67,10/19/10,64118V106,0.5,,"10.00
 - 12.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Other Services,
CFD US,Nuveen Diversified Commodity Fund,231.655,,,,0,25,0,0,9/28/10,67074P104,,531105,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,5.87048
1041668D US,American Tire Distributors Holdings Inc,230,31,-1.8,-3,0,0,,0,6/2/10,N.A.,,, ,,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale,
PACB US,Pacific Biosciences of California Inc,230,-23.1,-201.1,-20.5,51.9885,16,2.75,831.82,10/27/10,69404D108,-0.7,2.60E+08,"15.00
 - 17.00
",Priced Within Range,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Equipment,87.4251
AFN US,Affinia Group Holdings Inc,230,-6.3,0.7,,0,0,,0, ,N.A.,,, ,,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Repl,
RLD US,RealD Inc,230,-17.9,-14.5,-9.1,49.5134,16,21.9375,792.21,7/16/10,75604L105,1,,"13.00
 - 15.00
",Priced Above Range,Software,Technology,Computer Graphics,
1624831D US,TIAA FSB Holdings Inc,221.03,,16.1,0.5,116.062,10,6,1160.62,5/3/12,29977G102,4.3,,"11.00
 - 12.00
",Priced Below Range,Savings&Loans,Financial,S&L/Thrifts-Southern US,
MION US,Mirion Technologies US Inc,215.05,,,,0,0,,0, ,604702100,,, ,,Electronics,Industrial,Electronic Measur Instr,
UCII US,UCI International LLC,213.333,,,,41.9679,0,,0, ,90266D101,,,"14.00
 - 16.00
",,Retail,"Consumer, Cyclical",Retail-Automobile,
EXD US,Eaton Vance Tax-Managed Buy-Wr,210.98,,,,0,20,0.05000000075,0,6/25/10,27829M103,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
STAG US,STAG Industrial Inc,205.562,8.4,24.6,2.8,21.6339,13,-5.769230843,281.24,4/15/11,85254J102,2.5,1.71E+08,"15.00
 - 17.00
",Priced Below Range,REITS,Financial,REITS-Warehouse/Industr,91.707
VRA US,Vera Bradley Inc,202.4,-20.9,-16.7,-18,42.1567,16,55.3125,674.51,10/21/10,92335C106,-0.4,2.36E+07,"14.00
 - 16.00
",Priced Within Range,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,85.0157
1884811D US,Zipcar Inc,200.461,,,3.8,40.0694,18,55.55555725,721.25,4/14/11,98974X103,,,"14.00
 - 16.00
",Priced Above Range,Commercial Services,"Consumer, Non-cyclical",Rental Auto/Equipment,
DTA US,DriveTime Automotive Inc,200,,22.4,,0,0,,0,9/30/10,N.A.,,, ,,Retail,"Consumer, Cyclical",Retail-Automobile,
WOAK US,White Oak Capital Corp,200,,,,0,0,,0, ,N.A.,,, ,,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
NUCO US,NuCO2 Inc,200,11.7,-7.6,,0,0,,0, ,67034Y104,,, ,,Miscellaneous Manufactur,Industrial,Miscellaneous Manufactur,
LGNS US,LRI Holdings Inc,200,-4.1,-23.5,-32,0,0,,0, ,50215A103,,105, ,,Retail,"Consumer, Cyclical",Retail-Restaurants,
LAND US,Gladstone Land Corp,193.6,-5.7,15.6,0.9,14.1,0,,0, ,376549101,0.8,1.77E+07,"14.00
 - 16.00
",,REITS,Financial,REITS-Diversified,48.8192
SAVEQ US,Spirit Airlines Inc,190.278,-8.3,-25,-12.9,72.0812,12,-3.75,864.97,5/26/11,848577102,-6.9,6.76E+06,"12.00
 - 13.00
",Priced Within Range,Airlines,"Consumer, Cyclical",Airlines,6.1689
EXAM US,ExamWorks Group Inc,189.52,5.6,0.6,0.6,30.4395,16,5,487.03,10/28/10,30066A105,1.2,,"16.00
 - 18.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Commercial Services,
EMGCQ US,Emergent Capital Inc,189.228,,34.9,8,21.203,10.75,0.5581395626,227.932,2/8/11,29102N105,-0.0788565,5.48E+06,"10.00
 - 12.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Consumer Loans,3.45287
GDOT US,Green Dot Corp,188.703,14.8,-1.5,-0.5,41.4373,36,22.19444466,1491.74,7/22/10,39304D102,1.5,5.66E+07,"32.00
 - 35.00
",Priced Above Range,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,103.151
WMLPQ US,Westmoreland Resource Partners LP,186.156,-14.1,-51.3,-47.7,11.5929,18.5,-2.918918848,214.47,7/14/10,96108P103,8.5,,"18.00
 - 20.00
",Priced Within Range,Mining,Basic Materials,Mining Services,
2456324D US,SLR Senior Investment Corp,184,-7.8,39.3,1.8,9.7,20,-2,194,2/25/11,83416M105,-11.8,,"20.00
 - 20.00
",Priced Within Range,Investment Companies,Financial,Investment Companies,
ECTM US,ECA Marcellus Trust I,181.949,-24.6,49.5,7.5,13.4988,20,0,269.98,7/1/10,26827L109,,1,"19.00
 - 21.00
",Priced Within Range,Oil&Gas,Energy,Oil-US Royalty Trusts,5.68E-06
LLGX US,LINC Logistics Co,181.333,,,49.6,30.6667,0,,0, ,50188A106,,,"14.00
 - 16.00
",,Commercial Services,"Consumer, Non-cyclical",Commercial Services,
WMGI US,Wright Medical Group NV,179.954,10.1,-12.4,-4.3,39.0393,19,-5,741.75,2/3/11,N.A.,0.3,,"19.00
 - 21.00
",Priced Within Range,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,
VCC US,Velocity Commercial Capital Inc,175,-3.1,-25.9,,0,0,,0, ,N.A.,-0.00992163,, ,,Investment Companies,Financial,Investment Companies,
1896901D US,Omnimax Holdings Inc,175,3.4,-6.9,-12.7,0,0,,0, ,N.A.,,, ,,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,
LEAF US,Leaf Group Ltd,173.995,36.8,-4.1,-4.3,83.3,17,33.23529434,1416.1,1/26/11,52177G102,0.4,5.48E+06,"14.00
 - 16.00
",Priced Above Range,Internet,Communications,E-Commerce/Services,15.2222
TMS US,Tms International Holding Corp,167.44,-5,1,3.1,34.626,13,-7.692307472,450.14,4/14/11,87261Q103,3,481480,"15.00
 - 17.00
",Priced Below Range,Commercial Services,"Consumer, Non-cyclical",Commercial Services,3.26085
FIBK US,First Interstate BancSystem Inc,166.75,3.7,22.6,0.7,42.7433,14.5,8.27586174,619.78,3/24/10,32055Y201,3.4,8.83E+07,"14.00
 - 16.00
",Priced Within Range,Banks,Financial,Commer Banks-Western US,85.5759
LRP US,Legacy Healthcare Properties Trust Inc,166.25,,,,9.099,0,,0, ,524692100,,,"18.00
 - 19.00
",,REITS,Financial,REITS-Health Care,
BBRG US,Bravo Brio Restaurant Group,161,-0.6,-2.4,-10.5,20.75,14,13.9285717,290.5,10/21/10,10567B109,0.8,,"14.00
 - 16.00
",Priced Within Range,Retail,"Consumer, Cyclical",Retail-Restaurants,
CSOD US,Cornerstone OnDemand Inc,156.975,28.5,-5.4,-1.3,46.4094,13,46.69230652,603.32,3/17/11,21925Y103,1.5,,"9.00
 - 11.00
",Priced Above Range,Software,Technology,Computer Software,
RP US,RealPage Inc,155.595,17.2,4,1.4,62.305,11,32,685.36,8/12/10,75606N109,2.8,,"13.00
 - 15.00
",Priced Below Range,Software,Technology,Applications Software,
0991663D US,Aurora Diagnostics Inc,150,,,,0,0,,0, ,51621100,,, ,,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&Testing Srv,
PRMS US,Prommis Solutions Holding Corp,150,32.1,3,,0,0,,0, ,N.A.,,, ,,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,
HKACU US,Hicks Acquisition Co II Inc,150,,,-1,17.1429,10,0,171.43,10/12/10,429090202,-0.0206405,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
ACP US,abrdn Income Credit Strategies Fund,146.54,,,,0,20,0,0,1/27/11,3057106,,4.32E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,34.4241
RLJAU US,RLJ Entertainment Inc,143.75,7.5,-7.1,-5.2,14.375,10,0.200000003,143.75,2/16/11,74965B202,,,"10.00
 - 10.00
",Priced Within Range,Media,Communications,Multimedia,
SIGE US,SiGe Semiconductor Inc/United States,143.75,,,,79.5395,0,,0, ,82655B101,,, ,,Semiconductors,Technology,Semicon Compo-Intg Circu,
IL US,Intralinks Holdings Inc,143,7.9,-11,-4.4,49.285,13,0,640.7,8/6/10,46118H104,0.5,,"14.00
 - 16.00
",Priced Below Range,Software,Technology,Enterprise Software/Serv,
DVOXQ US,DynaVox Inc,140.625,-33.2,-14.6,-12.6,9.375,15,0,140.62,4/22/10,26817F104,0.4,,"15.00
 - 17.00
",Priced Within Range,Software,Technology,Computer Software,
NBD US,Nuveen Build America Bond Opportunity Fund,140,,,,0,20,0,0,11/24/10,67074Q102,,,"20.00
 - 20.00
",Priced Within Range,Debt Fund,Funds,Unclassified,
FRNK US,Franklin Financial Corp/VA,138.862,34.3,32,1.4,14.3028,10,19.70000076,143.03,4/28/11,35353C102,1.2,,"10.00
 - 10.00
",Priced Within Range,Banks,Financial,Commer Banks Non-US,
SREV US,ServiceSource International Inc,137.311,0.5,-7.5,-7.6,67.2973,10,21.79999924,672.97,3/25/11,81763U100,0.036767,,"7.50
 - 9.00
",Priced Above Range,Commercial Services,"Consumer, Non-cyclical",Commercial Services,
PLOW US,Douglas Dynamics Inc,129.375,0.0573764,9.8,9.4,21.2604,11.25,0.3555555642,239.18,5/5/10,25960R105,1.7,2.60E+07,"11.25
 - 11.75
",Priced Within Range,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Repl,112.485
QLIK US,Qlik Technologies Inc,128.8,10,-5.9,-4.5,76.6376,10,28,766.376,7/16/10,74733T105,0.6,30169,"8.50
 - 9.50
",Priced Above Range,Software,Technology,Enterprise Software/Serv,0.0317857
PFX US,PhenixFIN Corp,128.733,10.1,83.9,6,17.32,12,1.166666627,207.84,1/20/11,71742W103,7.8,565604,"13.00
 - 14.00
",Priced Below Range,Investment Companies,Financial,Investment Companies,28.0034
ARZ US,Arizona Chemical Ltd,125,-23.4,1.5,,0,0,,0, ,N.A.,,, ,,Chemicals,Basic Materials,Chemicals-Diversified,
JWCAU US,Tile Shop Holdings Inc,125,-7.9,0.6,0.7,12.5,10,0.1000000015,125,11/18/10,46634Y201,0.6,,"10.00
 - 10.00
",Priced Within Range,Retail,"Consumer, Cyclical",Retail-Building Products,
1580477D US,Higher One Holdings Inc,124.2,-28.2,6.8,4.9,55.0715,12,18.91666603,660.858,6/17/10,42983D104,-0.3,,"15.00
 - 17.00
",Priced Below Range,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,
GEVO US,Gevo Inc,123.337,-1.6,-464.9,-12.7,24.8988,15,9.600000381,373.48,2/9/11,374396406,-0.2,5.82E+07,"13.00
 - 15.00
",Priced Within Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,24.2847
NCTX US,New Century Transportation Inc,120,,,,0,0,,0, ,N.A.,,, ,,Transportation,Industrial,Transport-Truck,
WNTG US,Wintegra Inc,115,,,,0,0,,0, ,97573Q105,,, ,,Semiconductors,Technology,Electronic Compo-Semicon,
9998522D US,Primo Water Operations Inc,114.96,4.8,0.8,1.2,20.274,12,7.916666508,243.29,11/5/10,74165N105,0.8,,"11.00
 - 13.00
",Priced Within Range,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,
