Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
0861757D US,Animal Health Holdings Inc,0.3,0.1,0.7,149.27,24.333,11.0,267.66,03525N109,0.2,149.27,24.333,,,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Veterinary Diagnostics,5.17,0.3052527254707629,96.9,4.6,1,31,2007,1
0863289D US,Anchor Hocking Holdings Inc,-13.1,-33.7,-41.6,75.0,7.51,10.0,75.1,74966A203,-1.3,75.0,7.51,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Appliances,0.11,0.440297355127631,75.3,8.3,2,24,2012,1
0878522D US,Crestwood Midstream Partners L,3.9,14.8,1.4,120.75,11.5886,21.0,243.36,226372100,1.9,120.75,11.5886,,,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines,5.3,-0.1833902227087109,83.4,4.6,8,7,2007,0
0882565D US,Sizmek Technologies Inc,,,9.2,62.2576,18.3153,11.5,210.63,58449C100,,62.2576,18.3153,,,14 - 16,Priced Below Range,Communications,Advertising,Advertising Services,0.18,0.1380664278408069,68.9,9.5,8,11,2010,0
0883461D US,Eagle Test Systems Inc,,,11.6,100.75,20.6415,15.5,319.94,270006109,,100.75,20.6415,,,14 - 16,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,4.52,0.55359838953198,88.9,4.7,3,9,2006,0
0891107D US,FTD Group Inc,,,5.1,195.845,29.0166,13.0,377.22,30267U108,,195.845,29.0166,,,14-Dec,Priced Within Range,Communications,Internet,E-Commerce/Products,2.4,0.576822233875206,94.1,5.4,2,9,2005,1
0911013D US,Specialty Laboratories Inc,12.6,-9.6,-15.9,80.0,20.1875,16.0,323.0,84749R100,-0.3,80.0,20.1875,0.00152654,365.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,6.6,-0.0574382538770748,98.4,3.9,12,8,2000,1
0918134D US,Emageon Inc,,,-56.5,74.75,19.633,13.0,255.23,29076V109,,74.75,19.633,,,13 - 15,Priced Within Range,Technology,Software,Enterprise Software/Serv,2.4,0.576822233875206,94.1,5.4,2,9,2005,1
0932839D US,Xenogen Corp,,,-52.4,29.4,14.9773,7.0,104.84,98410R108,,29.4,14.9773,,,8-Aug,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.4,-0.158144438587237,96.7,5.5,7,16,2004,1
0959089D US,Corillian Corp,,,-1.6,32.0,29.5256,8.0,236.2,218725109,,32.0,29.5256,,,12-Oct,Priced Below Range,Financial,Diversified Finan Serv,Finance-Other Services,6.17,0.058411214953279,109.2,3.8,4,12,2000,1
0965081D US,First Trust Tax-Advantaged Pre,,,,59.2,0.0,20.0,0.0,336918107,,59.2,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.02,0.1975308641975319,84.9,4.6,6,28,2006,0
0965087D US,SeaCube Container Leasing Ltd,17.3,23.3,2.8,109.25,19.5428,10.0,195.428,N.A.,5.1,109.25,19.5428,,,16 - 18,Priced Below Range,Financial,Diversified Finan Serv,Finance-Leasing Compan,0.2,0.1245198888476958,67.7,9.4,10,28,2010,1
0967702D US,HealthSpring Inc,,,10.9,421.59,57.2896,19.5,1117.15,42224N101,,421.59,57.2896,,,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,4.47,0.2017145738779499,86.7,4.8,2,3,2006,1
0967872D US,Global Traffic Network Inc,25.7,7.6,11.2,21.85,12.87,5.0,64.35,37947B103,0.9,21.85,12.87,,,5.50 - 6.50,Priced Below Range,Communications,Media,Radio,4.52,0.55359838953198,88.9,4.7,3,24,2006,1
0977894D US,United Financial Bancorp Inc/O,29.9,19.1,,77.6215,0.0,10.0,0.0,91030T109,1.4,77.6215,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Eastern US,3.36,0.4627249357326559,96.5,5.0,7,13,2005,1
1008517Q US,Blaze Software Inc,100.9,-130.6,,64.0,21.3192,16.0,341.11,09347T109,-0.6,64.0,21.3192,,,14-Dec,Priced Above Range,Communications,Internet,Internet Infrastr Sftwr,5.78,0.8244994110718371,107.1,4.0,3,23,2000,1
1016061Q US,Viewlocity Inc,-79.2,-144.4,-247.5,35.0,27.615,7.0,193.305,926720103,-3.1,35.0,27.615,,,8-Jul,Priced Within Range,Technology,Software,Applications Software,6.51,0.0,107.3,4.1,8,15,2000,0
1023765D US,ConnectOne Bancorp Inc/Old,15.6,24.4,0.9,51.52,4.753,28.0,133.08,20786U101,3.0,51.52,4.753,,,26 - 29,Priced Within Range,Financial,Banks,Commer Banks-Eastern US,0.14,0.8190029529268759,77.6,7.7,2,12,2013,1
1023767D US,NorthStar Realty Finance Corp/,106.6,-11.9,-2.1,190.447,20.0851,9.0,180.77,66704R100,2.9,190.447,20.0851,,,11-Sep,Priced Within Range,Financial,REITS,REITS-Diversified,1.86,0.5265929436545569,91.7,5.5,10,26,2004,0
1052394D US,MPG Office Trust Inc,-1.6,166.2,22.9,797.743,37.1693,19.0,706.22,553274101,0.1,797.743,37.1693,,,19 - 21,Priced Within Range,Financial,REITS,REITS-Office Property,1.28,0.108991825613079,89.7,6.3,6,25,2003,0
1056372D US,ProCentury Corp,,,3.9,93.45,13.1012,10.5,137.56,74268T108,,93.45,13.1012,,,12-Oct,Priced Within Range,Financial,Insurance,Property/Casualty Ins,1.03,0.320170757737461,94.2,5.6,4,20,2004,0
1119666D US,James River Group Inc,,,5.1,91.9908,14.3847,18.0,258.92,470359100,,91.9908,14.3847,,,16 - 18,Priced Within Range,Financial,Insurance,Property/Casualty Ins,3.3,0.5117707267144339,89.1,4.9,8,9,2005,1
1121454D US,StorageNetworks Inc,-23.2,-80.6,-11.6,243.0,88.261,27.0,2383.05,8.62E+107,-0.00553193,243.0,88.261,0.00660204,6567.0,23 - 25,Priced Above Range,Technology,Computers,Computers-Memory Devices,6.65,0.5247813411078819,106.4,4.0,6,29,2000,1
1224790D US,NASDAQ Premium Income & Growth,,,,364.0,0.0,20.0,0.0,63110R105,,364.0,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.17,0.3052527254707629,96.9,4.6,1,26,2007,0
1229348D US,Jason Industries Inc,-8.1,-24.1,-24.3,172.5,18.4,10.0,184.0,74874R207,-0.7,172.5,18.4,,,10-Oct,Priced Within Range,Industrial,Hand/Machine Tools,Mach Tools&Rel Products,0.08,0.12029315570472,82.1,7.2,8,9,2013,1
1233306D US,Animas Corp,,,-34.7,73.3125,18.5318,15.0,277.98,03525Y105,,73.3125,18.5318,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,1.03,0.5851063829787189,90.2,5.6,5,20,2004,1
1235274D US,GenOn Energy Inc,-14.6,-18.5,7.9,1794.0,292.0,30.0,8760.0,3.72E+111,,1794.0,292.0,,,28 - 30,Priced Within Range,Utilities,Electric,Electric-Generation,4.61,0.4522328999434578,92.0,4.3,5,1,2001,1
1236053D US,EnergySolutions Inc,-0.1,-3.0,-5.9,828.506,0.0,23.0,0.0,292756202,0.2,828.506,0.0,,,19 - 21,Priced Above Range,Industrial,Environmental Control,Hazardous Waste Disposal,4.59,0.5939617873415811,76.1,4.7,11,14,2007,1
1240716D US,Targa Energy LP,69.4,-2.9,-0.8,82.8,21.1,23.0,485.3,04930A104,0.7,82.8,21.1,0.00707592,3681.0,23 - 25,Priced Within Range,Energy,Pipelines,Pipelines,5.05,0.295712173484489,84.7,4.7,7,21,2006,0
1245842D US,Valera Pharmaceuticals Inc,-33.0,-77.5,-57.4,34.7625,14.8085,9.0,133.28,91914F100,-0.9,34.7625,14.8085,,,12-Oct,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,4.47,0.2017145738779499,86.7,4.8,2,2,2006,1
1291067D US,Blue Bird Corp,-22.2,-0.0422518,-6.0,115.0,11.5,10.0,115.0,425886207,-2.0,115.0,11.5,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Manufacturers,Auto-Med&Heavy Duty Trks,0.07,0.3720247673236048,81.2,6.6,1,17,2014,1
1292387D US,Dobson Communications Corp,,,0.4,550.0,88.2531,22.0,1941.57,256069105,,550.0,88.2531,0.00900227,15125.0,20 - 22,Priced Within Range,Communications,Telecommunications,Cellular Telecom,5.79,0.592417061611377,111.3,4.1,2,3,2000,1
1293318D US,PayPal Inc,,,,80.73,59.8325,13.0,777.82,704508100,,80.73,59.8325,,,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.77,0.395256916996071,90.7,5.7,2,14,2002,1
1294243D US,Cogdell Spencer Inc,-2.1,-17.2,-4.6,103.7,8.0004,17.0,136.01,19238U107,0.6,103.7,8.0004,,,18 - 20,Priced Below Range,Financial,REITS,REITS-Health Care,3.93,0.201207243460752,74.2,5.0,10,27,2005,0
1297092D US,Infor Global Solutions Massach,41.0,-73.9,-29.4,80.0,21.8477,20.0,436.954,302255104,-1.3,80.0,21.8477,,,14 - 16,Priced Above Range,Technology,Software,Applications Software,3.99,0.2970885323826589,112.0,4.0,1,26,2000,1
1310423D US,Silver Eagle Acquisition Corp,,,,325.0,32.5,10.0,325.0,827694209,-0.1,325.0,32.5,,,10-Oct,Priced Within Range,Financial,Investment Companies,Investment Companies,0.1,0.039399753323301,85.1,7.3,7,23,2013,0
1311346D US,Morton's Restaurant Group Inc,5.3,0.8,2.3,174.538,16.0985,17.0,273.67,619430101,0.7,174.538,16.0985,,,14 - 16,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Restaurants,4.47,0.2017145738779499,86.7,4.8,2,9,2006,1
1315920D US,Lindblad Expeditions Holdings,78.6,-81.0,-12.8,180.0,18.0,10.0,180.0,14056V204,0.6,180.0,18.0,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Leisure Time,Cruise Lines,0.14,0.178040777358723,84.5,7.5,5,10,2013,1
1317066D US,AgroFresh Solutions Inc,5.2,-3.2,-2.4,221.5,22.15,10.0,221.5,10157P203,,221.5,22.15,,,,,Basic Materials,Chemicals,Chemicals-Specialty,0.07,0.3697908650968729,81.6,6.7,2,13,2014,0
1321686D US,Wright Medical Group Inc,22.9,-87.1,-24.6,107.812,27.9797,12.5,349.75,98235T107,-2.3,107.812,27.9797,,,11.50 - 13.50,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,3.95,-0.280898876404488,92.4,4.6,7,13,2001,1
1334197D US,Xtent Inc,,,-107.8,75.2,22.7963,16.0,364.74,984141101,-1.6,75.2,22.7963,,,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,5.29,0.535036755987662,91.3,4.5,2,1,2007,1
1349322D US,MLP & Strategic Equity Fund In,,,,290.01,0.0,20.0,0.0,55312N106,,290.01,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.23,0.1937975176605649,85.3,4.6,6,27,2007,0
1367507D US,CIFC Corp,-59.9,11.6,0.1,400.0,51.6597,16.0,826.56,N.A.,-55.3,400.0,51.6597,,,17 - 19,Priced Below Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,3.02,0.0514403292181003,96.0,5.0,6,29,2005,0
1369764D US,RSC Holdings Inc,23.3,-1.9,1.0,458.333,103.148,22.0,2269.26,74972L102,3.1,458.333,103.148,,,23 - 25,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,5.26,0.61107186747047,88.3,4.4,5,23,2007,0
1373473D US,Metabasis Therapeutics Inc,-46.6,-879.7,-56.4,35.0,17.8657,7.0,125.06,59101M105,-0.9,35.0,17.8657,,,8-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.02,0.3172924378635659,95.6,5.6,6,16,2004,0
1379842D US,Embarcadero Technologies Inc,,,4.9,42.0,25.72,10.0,257.2,290787100,,42.0,25.72,,,13-Nov,Priced Below Range,Technology,Software,Applications Software,6.17,0.058411214953279,109.2,3.8,4,20,2000,1
1384851D US,OPNET Technologies Inc,,,8.4,52.0,17.3066,13.0,224.99,683757108,,52.0,17.3066,,,14-Dec,Priced Within Range,Technology,Software,Computer Software,6.51,0.0,107.3,4.1,8,2,2000,1
1395066D US,Hiland Partners Holdings LLC,,,-4.9,51.75,2.72,22.5,61.2,431291103,,51.75,2.72,,,19 - 21,Priced Above Range,Energy,Pipelines,Pipelines,2.4,0.576822233875206,94.1,5.4,2,10,2005,1
139663Q US,Skillsoft US Corp,,,-1.2,43.4,12.5793,14.0,176.11,83066P101,,43.4,12.5793,,,14-Dec,Priced Within Range,Technology,Software,Applications Software,3.99,0.2970885323826589,112.0,4.0,1,31,2000,1
1403557D US,Gander Mountain Co,,,-1.3,105.34,13.3632,16.0,213.81,36471P207,,105.34,13.3632,,,14 - 16,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods,1.03,0.320170757737461,94.2,5.6,4,21,2004,1
1409833D US,Columbia Equity Trust Inc,446.0,-5.2,-1.4,207.0,12.0633,15.0,180.95,197627102,0.1,207.0,12.0633,,,14 - 16,Priced Within Range,Financial,REITS,REITS-Office Property,3.02,0.0514403292181003,96.0,5.0,6,29,2005,1
1413744D US,Golfsmith International Holdin,10.0,-0.0238086,-0.2,69.0,15.4727,11.5,177.94,38168Y103,0.7,69.0,15.4727,,,14 - 16,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods,5.02,0.1975308641975319,84.9,4.6,6,15,2006,0
1416528D US,Cardtronics Inc,,,,120.0,38.5662,10.0,385.66,14161H108,,120.0,38.5662,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,4.66,-0.0670863129647814,75.5,5.0,12,11,2007,0
1435766D US,Register.com Inc,,,2.3,120.0,30.7594,24.0,738.226,75914G101,,120.0,30.7594,,,19 - 21,Priced Above Range,Communications,Internet,Web Hosting/Design,5.78,0.8244994110718371,107.1,4.0,3,2,2000,1
1440013D US,Cogent Inc,3.1,25.0,3.0,248.4,78.0,12.0,936.0,19239Y108,0.6,248.4,78.0,,,12-Oct,Priced Within Range,Industrial,Electronics,Identification Sys/Dev,1.53,0.2110817941952519,94.2,5.4,9,24,2004,1
1448479D US,Campus Crest Communities Inc,15.9,-152.4,-3.1,407.288,28.4283,12.5,355.35,13466Y105,1.0,407.288,28.4283,2.99985,1942600.0,12.50 - 14.50,Priced Within Range,Financial,REITS,REITS-Apartments,0.2,0.1245198888476958,67.7,9.4,10,14,2010,1
1448759D US,Ottawa Savings Bancorp Inc,,,,23.84,0.0,10.0,0.0,68955R102,,23.84,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US,0.4,0.0918430107884497,89.8,4.9,8,10,2016,1
1455797D US,TAL International Group Inc,,,,225.0,34.3368,18.0,618.06,874083108,,225.0,34.3368,,,20 - 20,Priced Below Range,Industrial,Trucking&Leasing,Transport-Equip&Leasng,3.93,0.201207243460752,74.2,5.0,10,12,2005,0
1467202D US,RailAmerica Inc,,,-0.4,330.0,54.3469,15.0,815.2,750753402,,330.0,54.3469,,,16 - 18,Priced Below Range,Industrial,Transportation,Transport-Rail,0.11,0.0963101185818577,70.6,10.0,10,13,2009,0
1468826D US,NFP Corp,,,3.2,239.822,31.4834,23.0,724.12,63607P208,,239.822,31.4834,,,21 - 23,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,1.01,0.3250270855904668,87.7,6.1,9,18,2003,1
1469085D US,Tessera Technologies Inc,,,,112.125,37.8334,13.0,491.83,88164L100,,112.125,37.8334,,,11-Sep,Priced Above Range,Technology,Semiconductors,Semiconductor Equipment,1.03,-0.2702702702702639,93.7,5.8,11,13,2003,1
1469138D US,Envision Healthcare Holdings I,23.8,2.6,2.0,1110.9,174.083,23.0,4003.91,29413U103,1.3,1110.9,174.083,,,20 - 23,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Phys Practice Mgmnt,0.08,0.12029315570472,82.1,7.2,8,14,2013,1
1481878D US,DynCorp International Inc,,,-29.6,375.0,0.0,15.0,0.0,26817C101,,375.0,0.0,,,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Services,4.84,0.4962779156327429,79.1,4.6,5,4,2006,0
1482276D US,FMC Technologies Inc,,,,221.0,65.0,20.0,1300.0,30249U101,,221.0,65.0,,,,,Energy,Oil&Gas Services,Oil Field Mach&Equip,4.14,0.16882386043895,92.6,4.5,6,14,2001,1
1488164D US,Aames Investment Corp,36.2,-1.6,0.2,342.125,56.07,8.5,476.6,00253G108,-7.2,342.125,56.07,,,11-Sep,Priced Below Range,Financial,REITS,REITS-Mortgage,1.83,0.0523834468308086,92.8,5.4,11,2,2004,1
1501257D US,RMR Real Estate Income Fund/DE,,,,35.0,0.0,20.0,0.0,N.A.,,35.0,0.0,0.00176436,135.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,4.84,0.4962779156327429,79.1,4.6,5,26,2006,0
1508335D US,Life Time Inc,7.0,8.8,4.3,210.622,34.6941,18.5,641.84,53217R207,6.7,210.622,34.6941,,,17 - 19,Priced Within Range,"Consumer, Cyclical",Leisure Time,Recreational Centers,1.02,0.3172924378635659,95.6,5.6,6,30,2004,1
1509993D US,Nuveen Arizona Dividend Advant,,,,42.375,0.0,15.0,0.0,6.71E+105,,42.375,0.0,,,15 - 15,Priced Within Range,Funds,Debt Fund,Unclassified,1.81,0.16602102933039,86.1,5.7,9,26,2002,1
1510484D US,Centra Software Inc,,,,70.0,23.2501,14.0,325.501,15234X103,,70.0,23.2501,,,10-Aug,Priced Above Range,Communications,Internet,Internet Applic Sftwr,5.79,0.592417061611377,111.3,4.1,2,2,2000,1
1523541D US,Simplicity Bancorp Inc,-9.1,16.2,0.5,56.8675,0.0,10.0,0.0,828867101,0.9,56.8675,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Western US,1.04,0.644468313641263,95.8,5.8,3,31,2004,1
1529158D US,Numerical Technologies Inc,-4.6,-139.4,-35.8,77.476,29.082,14.0,407.15,67053T101,0.3,77.476,29.082,,,13-Nov,Priced Above Range,Technology,Computers,Electronic Design Automa,6.17,0.058411214953279,109.2,3.8,4,7,2000,1
1530827D US,Tvia Inc,,,-38.0,55.0,21.1403,11.0,232.54,87307P101,,55.0,21.1403,,,13-Nov,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,6.51,0.0,107.3,4.1,8,9,2000,0
1537336D US,Trulia LLC,75.2,-30.0,-11.6,117.3,27.2767,17.0,463.7,897888103,0.3,117.3,27.2767,,,14 - 16,Priced Above Range,Communications,Internet,E-Commerce/Services,0.13,0.446221226761131,78.3,7.8,9,20,2012,1
1544310D US,Dole Food Co Inc,-2.9,-0.5,-1.6,446.438,87.425,12.5,1092.81,256603101,,446.438,87.425,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,0.11,0.0963101185818577,70.6,10.0,10,23,2009,0
1551989D US,NAVTEQ Corp,,,14.7,1012.0,87.6214,22.0,1927.67,63936L100,,1012.0,87.6214,,,20.50 - 22.50,Priced Within Range,Technology,Software,Data Processing/Mgmt,1.29,0.0527983104540587,95.9,5.4,8,5,2004,1
