Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced?
16.3,-58.6,-34.2,35.0,23.9113,7.0,167.38,-0.1,35.0,23.9113,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.17,0.1167542323409229,110.7,4.0,5,5,2000,1
,-102.9,-23.8,30.0,19.5893,6.0,117.54,-1.0,30.0,19.5893,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.86,0.5265929436545569,91.7,5.5,10,15,2004,0
,-3057.9,,87.0,29.3538,29.0,851.26,,87.0,29.3538,0.00138606,879.0,Communications,Telecommunications,Networking Products,3.99,0.2970885323826589,112.0,4.0,1,31,2000,1
,,1.6,178.5,28.3,17.0,481.1,,178.5,28.3,,,Energy,Pipelines,Pipelines,5.27,0.1965601965601969,82.0,4.7,8,4,2006,0
3.9,9.5,2.5,144.9,22.9646,14.0,321.5,,144.9,22.9646,,,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,4.14,0.16882386043895,92.6,4.5,6,7,2001,1
23.6,17.6,4.1,167.7,10.465,19.5,204.07,2.3,167.7,10.465,,,Energy,Pipelines,Pipelines,1.83,0.1111728738187739,88.1,5.8,7,23,2002,0
60.5,-9.6,-0.9,193.2,18.0231,10.0,180.23,0.6,193.2,18.0231,,,Financial,REITS,REITS-Office Property,0.94,0.4883342376559899,103.8,5.7,1,27,2004,1
,,,54.0,24.0249,9.0,216.22,-4.7,54.0,24.0249,0.00643161,2192.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.51,0.0,107.3,4.1,8,10,2000,1
88.1,47.8,79.0,299.0,150.0,10.0,1500.0,0.5,299.0,150.0,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.88,0.5592841163310839,93.0,5.9,4,12,2002,1
,,-2.8,67.275,54.8303,6.5,356.4,,67.275,54.8303,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Imaging Systems,2.06,-0.3945885005637069,88.8,5.7,12,14,2001,0
,,,336.0,0.0,20.0,0.0,,336.0,0.0,7.20851,1276050.0,Financial,Closed-end Funds,Closed-end Funds,2.39,0.7820646506777719,92.6,5.2,3,28,2005,0
18.8,9.6,,15.1073,2.68367,10.0,26.84,1.2,15.1073,2.68367,,,Financial,Banks,Commer Banks-Eastern US,1.16,0.442233278054161,82.4,5.8,1,6,2003,1
-6.2,-157.3,-30.0,67.2,18.8551,16.0,301.68,-0.7,67.2,18.8551,,,Technology,Software,Enterprise Software/Serv,6.86,0.23201856148492,108.3,4.0,7,21,2000,1
1.5,-23.3,-34.0,189.925,21.3415,10.0,213.41,,189.925,21.3415,,,Communications,Media,Cable/Satellite TV,0.09,0.4704187527233639,74.3,9.0,5,13,2011,1
5.1,2.6,5.3,239.953,37.0248,21.0,777.52,1.8,239.953,37.0248,,,Basic Materials,Iron/Steel,Steel-Producers,0.17,0.1736884910697429,72.2,9.9,4,9,2010,0
0.3,0.1,0.7,149.27,24.333,11.0,267.66,0.2,149.27,24.333,,,"Consumer, Non-cyclical",Pharmaceuticals,Veterinary Diagnostics,5.17,0.3052527254707629,96.9,4.6,1,31,2007,1
-13.1,-33.7,-41.6,75.0,7.51,10.0,75.1,-1.3,75.0,7.51,,,"Consumer, Cyclical",Retail,Retail-Appliances,0.11,0.440297355127631,75.3,8.3,2,24,2012,1
3.9,14.8,1.4,120.75,11.5886,21.0,243.36,1.9,120.75,11.5886,,,Energy,Pipelines,Pipelines,5.3,-0.1833902227087109,83.4,4.6,8,7,2007,0
,,9.2,62.2576,18.3153,11.5,210.63,,62.2576,18.3153,,,Communications,Advertising,Advertising Services,0.18,0.1380664278408069,68.9,9.5,8,11,2010,0
,,11.6,100.75,20.6415,15.5,319.94,,100.75,20.6415,,,Technology,Semiconductors,Electronic Compo-Semicon,4.52,0.55359838953198,88.9,4.7,3,9,2006,0
,,5.1,195.845,29.0166,13.0,377.22,,195.845,29.0166,,,Communications,Internet,E-Commerce/Products,2.4,0.576822233875206,94.1,5.4,2,9,2005,1
12.6,-9.6,-15.9,80.0,20.1875,16.0,323.0,-0.3,80.0,20.1875,0.00152654,365.0,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,6.6,-0.0574382538770748,98.4,3.9,12,8,2000,1
,,-56.5,74.75,19.633,13.0,255.23,,74.75,19.633,,,Technology,Software,Enterprise Software/Serv,2.4,0.576822233875206,94.1,5.4,2,9,2005,1
,,-52.4,29.4,14.9773,7.0,104.84,,29.4,14.9773,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.4,-0.158144438587237,96.7,5.5,7,16,2004,1
,,-1.6,32.0,29.5256,8.0,236.2,,32.0,29.5256,,,Financial,Diversified Finan Serv,Finance-Other Services,6.17,0.058411214953279,109.2,3.8,4,12,2000,1
,,,59.2,0.0,20.0,0.0,,59.2,0.0,,,Financial,Closed-end Funds,Closed-end Funds,5.02,0.1975308641975319,84.9,4.6,6,28,2006,0
17.3,23.3,2.8,109.25,19.5428,10.0,195.428,5.1,109.25,19.5428,,,Financial,Diversified Finan Serv,Finance-Leasing Compan,0.2,0.1245198888476958,67.7,9.4,10,28,2010,1
,,10.9,421.59,57.2896,19.5,1117.15,,421.59,57.2896,,,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,4.47,0.2017145738779499,86.7,4.8,2,3,2006,1
25.7,7.6,11.2,21.85,12.87,5.0,64.35,0.9,21.85,12.87,,,Communications,Media,Radio,4.52,0.55359838953198,88.9,4.7,3,24,2006,1
29.9,19.1,,77.6215,0.0,10.0,0.0,1.4,77.6215,0.0,,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,3.36,0.4627249357326559,96.5,5.0,7,13,2005,1
100.9,-130.6,,64.0,21.3192,16.0,341.11,-0.6,64.0,21.3192,,,Communications,Internet,Internet Infrastr Sftwr,5.78,0.8244994110718371,107.1,4.0,3,23,2000,1
-79.2,-144.4,-247.5,35.0,27.615,7.0,193.305,-3.1,35.0,27.615,,,Technology,Software,Applications Software,6.51,0.0,107.3,4.1,8,15,2000,0
15.6,24.4,0.9,51.52,4.753,28.0,133.08,3.0,51.52,4.753,,,Financial,Banks,Commer Banks-Eastern US,0.14,0.8190029529268759,77.6,7.7,2,12,2013,1
106.6,-11.9,-2.1,190.447,20.0851,9.0,180.77,2.9,190.447,20.0851,,,Financial,REITS,REITS-Diversified,1.86,0.5265929436545569,91.7,5.5,10,26,2004,0
-1.6,166.2,22.9,797.743,37.1693,19.0,706.22,0.1,797.743,37.1693,,,Financial,REITS,REITS-Office Property,1.28,0.108991825613079,89.7,6.3,6,25,2003,0
,,3.9,93.45,13.1012,10.5,137.56,,93.45,13.1012,,,Financial,Insurance,Property/Casualty Ins,1.03,0.320170757737461,94.2,5.6,4,20,2004,0
,,5.1,91.9908,14.3847,18.0,258.92,,91.9908,14.3847,,,Financial,Insurance,Property/Casualty Ins,3.3,0.5117707267144339,89.1,4.9,8,9,2005,1
-23.2,-80.6,-11.6,243.0,88.261,27.0,2383.05,-0.00553193,243.0,88.261,0.00660204,6567.0,Technology,Computers,Computers-Memory Devices,6.65,0.5247813411078819,106.4,4.0,6,29,2000,1
,,,364.0,0.0,20.0,0.0,,364.0,0.0,,,Financial,Closed-end Funds,Closed-end Funds,5.17,0.3052527254707629,96.9,4.6,1,26,2007,0
-8.1,-24.1,-24.3,172.5,18.4,10.0,184.0,-0.7,172.5,18.4,,,Industrial,Hand/Machine Tools,Mach Tools&Rel Products,0.08,0.12029315570472,82.1,7.2,8,9,2013,1
,,-34.7,73.3125,18.5318,15.0,277.98,,73.3125,18.5318,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,1.03,0.5851063829787189,90.2,5.6,5,20,2004,1
-14.6,-18.5,7.9,1794.0,292.0,30.0,8760.0,,1794.0,292.0,,,Utilities,Electric,Electric-Generation,4.61,0.4522328999434578,92.0,4.3,5,1,2001,1
-0.1,-3.0,-5.9,828.506,0.0,23.0,0.0,0.2,828.506,0.0,,,Industrial,Environmental Control,Hazardous Waste Disposal,4.59,0.5939617873415811,76.1,4.7,11,14,2007,1
69.4,-2.9,-0.8,82.8,21.1,23.0,485.3,0.7,82.8,21.1,0.00707592,3681.0,Energy,Pipelines,Pipelines,5.05,0.295712173484489,84.7,4.7,7,21,2006,0
-33.0,-77.5,-57.4,34.7625,14.8085,9.0,133.28,-0.9,34.7625,14.8085,,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,4.47,0.2017145738779499,86.7,4.8,2,2,2006,1
-22.2,-0.0422518,-6.0,115.0,11.5,10.0,115.0,-2.0,115.0,11.5,,,"Consumer, Cyclical",Auto Manufacturers,Auto-Med&Heavy Duty Trks,0.07,0.3720247673236048,81.2,6.6,1,17,2014,1
,,0.4,550.0,88.2531,22.0,1941.57,,550.0,88.2531,0.00900227,15125.0,Communications,Telecommunications,Cellular Telecom,5.79,0.592417061611377,111.3,4.1,2,3,2000,1
,,,80.73,59.8325,13.0,777.82,,80.73,59.8325,,,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.77,0.395256916996071,90.7,5.7,2,14,2002,1
-2.1,-17.2,-4.6,103.7,8.0004,17.0,136.01,0.6,103.7,8.0004,,,Financial,REITS,REITS-Health Care,3.93,0.201207243460752,74.2,5.0,10,27,2005,0
41.0,-73.9,-29.4,80.0,21.8477,20.0,436.954,-1.3,80.0,21.8477,,,Technology,Software,Applications Software,3.99,0.2970885323826589,112.0,4.0,1,26,2000,1
,,,325.0,32.5,10.0,325.0,-0.1,325.0,32.5,,,Financial,Investment Companies,Investment Companies,0.1,0.039399753323301,85.1,7.3,7,23,2013,0
5.3,0.8,2.3,174.538,16.0985,17.0,273.67,0.7,174.538,16.0985,,,"Consumer, Cyclical",Retail,Retail-Restaurants,4.47,0.2017145738779499,86.7,4.8,2,9,2006,1
78.6,-81.0,-12.8,180.0,18.0,10.0,180.0,0.6,180.0,18.0,,,"Consumer, Cyclical",Leisure Time,Cruise Lines,0.14,0.178040777358723,84.5,7.5,5,10,2013,1
5.2,-3.2,-2.4,221.5,22.15,10.0,221.5,,221.5,22.15,,,Basic Materials,Chemicals,Chemicals-Specialty,0.07,0.3697908650968729,81.6,6.7,2,13,2014,0
22.9,-87.1,-24.6,107.812,27.9797,12.5,349.75,-2.3,107.812,27.9797,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,3.95,-0.280898876404488,92.4,4.6,7,13,2001,1
,,-107.8,75.2,22.7963,16.0,364.74,-1.6,75.2,22.7963,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,5.29,0.535036755987662,91.3,4.5,2,1,2007,1
,,,290.01,0.0,20.0,0.0,,290.01,0.0,,,Financial,Closed-end Funds,Closed-end Funds,5.23,0.1937975176605649,85.3,4.6,6,27,2007,0
-59.9,11.6,0.1,400.0,51.6597,16.0,826.56,-55.3,400.0,51.6597,,,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,3.02,0.0514403292181003,96.0,5.0,6,29,2005,0
23.3,-1.9,1.0,458.333,103.148,22.0,2269.26,3.1,458.333,103.148,,,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,5.26,0.61107186747047,88.3,4.4,5,23,2007,0
-46.6,-879.7,-56.4,35.0,17.8657,7.0,125.06,-0.9,35.0,17.8657,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.02,0.3172924378635659,95.6,5.6,6,16,2004,0
,,4.9,42.0,25.72,10.0,257.2,,42.0,25.72,,,Technology,Software,Applications Software,6.17,0.058411214953279,109.2,3.8,4,20,2000,1
,,8.4,52.0,17.3066,13.0,224.99,,52.0,17.3066,,,Technology,Software,Computer Software,6.51,0.0,107.3,4.1,8,2,2000,1
,,-4.9,51.75,2.72,22.5,61.2,,51.75,2.72,,,Energy,Pipelines,Pipelines,2.4,0.576822233875206,94.1,5.4,2,10,2005,1
,,-1.2,43.4,12.5793,14.0,176.11,,43.4,12.5793,,,Technology,Software,Applications Software,3.99,0.2970885323826589,112.0,4.0,1,31,2000,1
,,-1.3,105.34,13.3632,16.0,213.81,,105.34,13.3632,,,"Consumer, Cyclical",Retail,Retail-Sporting Goods,1.03,0.320170757737461,94.2,5.6,4,21,2004,1
446.0,-5.2,-1.4,207.0,12.0633,15.0,180.95,0.1,207.0,12.0633,,,Financial,REITS,REITS-Office Property,3.02,0.0514403292181003,96.0,5.0,6,29,2005,1
10.0,-0.0238086,-0.2,69.0,15.4727,11.5,177.94,0.7,69.0,15.4727,,,"Consumer, Cyclical",Retail,Retail-Sporting Goods,5.02,0.1975308641975319,84.9,4.6,6,15,2006,0
,,,120.0,38.5662,10.0,385.66,,120.0,38.5662,,,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,4.66,-0.0670863129647814,75.5,5.0,12,11,2007,0
,,2.3,120.0,30.7594,24.0,738.226,,120.0,30.7594,,,Communications,Internet,Web Hosting/Design,5.78,0.8244994110718371,107.1,4.0,3,2,2000,1
3.1,25.0,3.0,248.4,78.0,12.0,936.0,0.6,248.4,78.0,,,Industrial,Electronics,Identification Sys/Dev,1.53,0.2110817941952519,94.2,5.4,9,24,2004,1
15.9,-152.4,-3.1,407.288,28.4283,12.5,355.35,1.0,407.288,28.4283,2.99985,1942600.0,Financial,REITS,REITS-Apartments,0.2,0.1245198888476958,67.7,9.4,10,14,2010,1
,,,23.84,0.0,10.0,0.0,,23.84,0.0,,,Financial,Savings&Loans,S&L/Thrifts-Central US,0.4,0.0918430107884497,89.8,4.9,8,10,2016,1
,,,225.0,34.3368,18.0,618.06,,225.0,34.3368,,,Industrial,Trucking&Leasing,Transport-Equip&Leasng,3.93,0.201207243460752,74.2,5.0,10,12,2005,0
,,-0.4,330.0,54.3469,15.0,815.2,,330.0,54.3469,,,Industrial,Transportation,Transport-Rail,0.11,0.0963101185818577,70.6,10.0,10,13,2009,0
,,3.2,239.822,31.4834,23.0,724.12,,239.822,31.4834,,,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,1.01,0.3250270855904668,87.7,6.1,9,18,2003,1
,,,112.125,37.8334,13.0,491.83,,112.125,37.8334,,,Technology,Semiconductors,Semiconductor Equipment,1.03,-0.2702702702702639,93.7,5.8,11,13,2003,1
23.8,2.6,2.0,1110.9,174.083,23.0,4003.91,1.3,1110.9,174.083,,,"Consumer, Non-cyclical",Healthcare-Services,Phys Practice Mgmnt,0.08,0.12029315570472,82.1,7.2,8,14,2013,1
,,-29.6,375.0,0.0,15.0,0.0,,375.0,0.0,,,"Consumer, Non-cyclical",Commercial Services,Commercial Services,4.84,0.4962779156327429,79.1,4.6,5,4,2006,0
,,,221.0,65.0,20.0,1300.0,,221.0,65.0,,,Energy,Oil&Gas Services,Oil Field Mach&Equip,4.14,0.16882386043895,92.6,4.5,6,14,2001,1
36.2,-1.6,0.2,342.125,56.07,8.5,476.6,-7.2,342.125,56.07,,,Financial,REITS,REITS-Mortgage,1.83,0.0523834468308086,92.8,5.4,11,2,2004,1
,,,35.0,0.0,20.0,0.0,,35.0,0.0,0.00176436,135.0,Financial,Closed-end Funds,Closed-end Funds,4.84,0.4962779156327429,79.1,4.6,5,26,2006,0
7.0,8.8,4.3,210.622,34.6941,18.5,641.84,6.7,210.622,34.6941,,,"Consumer, Cyclical",Leisure Time,Recreational Centers,1.02,0.3172924378635659,95.6,5.6,6,30,2004,1
,,,42.375,0.0,15.0,0.0,,42.375,0.0,,,Funds,Debt Fund,Unclassified,1.81,0.16602102933039,86.1,5.7,9,26,2002,1
,,,70.0,23.2501,14.0,325.501,,70.0,23.2501,,,Communications,Internet,Internet Applic Sftwr,5.79,0.592417061611377,111.3,4.1,2,2,2000,1
-9.1,16.2,0.5,56.8675,0.0,10.0,0.0,0.9,56.8675,0.0,,,Financial,Savings&Loans,S&L/Thrifts-Western US,1.04,0.644468313641263,95.8,5.8,3,31,2004,1
-4.6,-139.4,-35.8,77.476,29.082,14.0,407.15,0.3,77.476,29.082,,,Technology,Computers,Electronic Design Automa,6.17,0.058411214953279,109.2,3.8,4,7,2000,1
,,-38.0,55.0,21.1403,11.0,232.54,,55.0,21.1403,,,Technology,Semiconductors,Electronic Compo-Semicon,6.51,0.0,107.3,4.1,8,9,2000,0
75.2,-30.0,-11.6,117.3,27.2767,17.0,463.7,0.3,117.3,27.2767,,,Communications,Internet,E-Commerce/Services,0.13,0.446221226761131,78.3,7.8,9,20,2012,1
-2.9,-0.5,-1.6,446.438,87.425,12.5,1092.81,,446.438,87.425,,,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,0.11,0.0963101185818577,70.6,10.0,10,23,2009,0
,,14.7,1012.0,87.6214,22.0,1927.67,,1012.0,87.6214,,,Technology,Software,Data Processing/Mgmt,1.29,0.0527983104540587,95.9,5.4,8,5,2004,1
-26.1,-51.2,-32.8,55.2,67.6148,6.0,405.69,-0.2,55.2,67.6148,,,Technology,Semiconductors,Electronic Compo-Semicon,4.66,-0.0670863129647814,75.5,5.0,12,6,2007,1
45.4,3.8,2.1,41.7,16.4847,6.95,114.57,0.0554221,41.7,16.4847,0.00454306,3073.0,Technology,Semiconductors,Electronic Compo-Semicon,1.4,-0.158144438587237,96.7,5.5,7,23,2004,0
,,1.4,82.8,35.6521,12.0,427.83,,82.8,35.6521,,,Financial,Real Estate,Real Estate Mgmnt/Servic,5.02,0.1975308641975319,84.9,4.6,6,7,2006,1
38.5,8.4,5.7,500.0,50.0,10.0,420.0,2.3,500.0,50.0,,,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,0.14,-0.155675657530359,87.2,5.0,9,11,2015,1
,,,222.5,0.0,25.0,0.0,,222.5,0.0,,,Financial,Closed-end Funds,Closed-end Funds,5.26,0.61107186747047,88.3,4.4,5,25,2007,0
,,-107.5,160.0,47.1368,16.0,754.19,,160.0,47.1368,,,Communications,Telecommunications,Cellular Telecom,6.17,0.058411214953279,109.2,3.8,4,7,2000,0
,,16.3,61.7573,30.941,9.0,278.47,,61.7573,30.941,0.0271181,9386.0,"Consumer, Cyclical",Retail,Retail-Computer Equip,3.12,0.290411218495348,70.8,4.9,2,14,2008,0
,,-0.2,212.75,21.275,10.0,212.75,,212.75,21.275,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.1,-0.0390193964161092,81.8,6.2,7,17,2014,1
-28.2,6.8,4.9,124.2,55.0715,12.0,660.858,-0.3,124.2,55.0715,,,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,0.2,-0.0976267084673888,76.0,9.4,6,17,2010,1
1.2,3.8,0.1,17.1098,0.0,10.0,0.0,2.3,17.1098,0.0,,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,1.85,0.165745856353599,80.6,5.7,10,23,2002,1
6.8,0.1,-0.2,121.875,47.4372,13.0,616.68,10.0,121.875,47.4372,,,"Consumer, Non-cyclical",Healthcare-Services,MRI/Medical Diag Imaging,3.95,-0.280898876404488,92.4,4.6,7,27,2001,1
-6.6,4.5,2.5,488.75,136.799,17.0,2325.58,,488.75,136.799,,,"Consumer, Cyclical",Retail,Retail-Restaurants,4.84,0.4962779156327429,79.1,4.6,5,18,2006,1
,,,75.0,0.0,15.0,0.0,,75.0,0.0,,,Financial,Closed-end Funds,Closed-end Funds,1.85,0.165745856353599,80.6,5.7,10,29,2002,0
0.7,-7.9,-2.9,130.883,56.8562,12.0,682.27,0.1,130.883,56.8562,0.360817,311026.0,Technology,Software,Applications Software,0.11,0.440297355127631,75.3,8.3,2,24,2012,1
6.4,16.1,0.5,221.03,116.062,10.0,1160.62,4.3,221.03,116.062,,,Financial,Savings&Loans,S&L/Thrifts-Southern US,0.16,-0.1173479366321049,79.3,8.2,5,3,2012,1
180.0,17.8,1.5,287.5,14.631,20.0,292.62,3.3,287.5,14.631,0.0428489,48584.0,Financial,REITS,REITS-Mortgage,0.15,0.0625480693495816,73.5,9.8,9,24,2009,0
4.0,-8.2,-7.2,64.0,11.7212,32.0,375.078,0.2,64.0,11.7212,,,Technology,Computers,Computer Services,5.79,0.592417061611377,111.3,4.1,2,17,2000,1
,,2.5,150.0,15.555,10.0,155.55,-0.1,150.0,15.555,,,Technology,Computers,Computer Services,0.82,0.296553336532688,97.0,4.4,4,7,2017,1
12.3,10.4,4.7,375.0,37.5,10.0,375.0,1.5,375.0,37.5,,,"Consumer, Non-cyclical",Food,Food-Baking,0.08,-0.141627628281935,91.9,5.1,8,14,2015,1
,,-7.7,185.725,65.7518,19.0,1249.28,,185.725,65.7518,,,Communications,Internet,E-Marketing/Info,0.11,0.7594558623930859,76.2,8.2,3,22,2012,1
7.8,12.4,0.4,81.9907,0.0,0.0,0.0,1.0,81.9907,0.0,,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,5.05,0.295712173484489,84.7,4.7,7,20,2006,0
27.8,18.2,11.2,174.171,64.1863,12.5,802.33,2.6,174.171,64.1863,,,Technology,Software,Communications Software,0.22,0.288876383417745,68.7,9.4,5,20,2009,1
,,2.9,145.475,46.3109,11.5,532.58,,145.475,46.3109,,,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,1.29,0.0527983104540587,95.9,5.4,8,12,2004,1
-12.0,-10165.5,-60.3,49.5,21.0198,9.0,189.18,-1.1,49.5,21.0198,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,5.3,0.649616268650889,87.1,4.5,4,27,2007,1
17.8,24.2,-0.7,430.1,47.56,22.0,1046.32,0.9,430.1,47.56,0.00380388,1500.0,Communications,Media,Television,1.88,0.0,96.9,5.8,5,3,2002,1
4.2,-16.5,-15.9,66.0,26.1885,11.0,288.07,0.3,66.0,26.1885,,,Technology,Software,Decision Support Softwar,5.3,-0.1833902227087109,83.4,4.6,8,9,2007,0
10.5,3.7,3.4,60.9,8.43974,14.0,118.16,1.4,60.9,8.43974,,,Technology,Computers,Computer Services,1.74,0.0,84.2,5.9,11,12,2002,0
,,-2.0,40.0,0.0,10.0,0.0,-0.3,40.0,0.0,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.07,-0.2110680379081459,91.3,5.1,11,25,2015,0
7.0,3.6,5.2,199.599,19.9599,10.0,199.599,,199.599,19.9599,,,Industrial,Transportation,Transport-Truck,0.13,0.0067047159295661,93.1,5.2,7,23,2015,0
4.6,10.5,8.0,70.0,5.6,12.5,70.0,8.2,70.0,5.6,0.00259202,1800.0,"Consumer, Non-cyclical",Commercial Services,Consulting Services,6.6,0.1727115716753108,105.8,3.9,10,11,2000,1
,,-6.9,69.3,18.8779,12.0,226.53,,69.3,18.8779,,,Technology,Semiconductors,Electronic Compo-Semicon,1.4,-0.158144438587237,96.7,5.5,7,9,2004,0
106.0,-374.0,-69.6,54.0,25.8091,9.0,232.282,-1.6,54.0,25.8091,,,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,0.2,0.0420646423819506,71.6,9.8,11,11,2010,0
14.4,-10.2,2.7,42.0,23.9069,7.0,167.35,0.7,42.0,23.9069,,,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,1.03,0.5851063829787189,90.2,5.6,5,27,2004,1
-10.8,-2.8,-42.7,250.0,25.0,10.0,0.0,-0.0194123,250.0,25.0,6.55088,4577820.0,Communications,Internet,E-Commerce/Services,0.3,0.404579099811517,94.7,4.8,5,26,2016,0
,,-6.5,84.46,18.4688,8.0,147.75,,84.46,18.4688,,,Financial,Diversified Finan Serv,Finance-Mtge Loan/Banker,1.33,0.770500825536602,79.9,5.9,2,14,2003,0
,,,330.0,33.0,10.0,0.0,,330.0,33.0,0.687215,283476.0,"Consumer, Cyclical",Leisure Time,Recreational Centers,1.06,-0.0632042103727645,100.7,4.2,10,25,2017,1
14.5,14.3,4.2,349.6,19.174,16.0,306.78,2.0,349.6,19.174,0.801484,646033.0,Financial,REITS,REITS-Apartments,1.97,0.2101944298475958,95.5,5.3,1,26,2005,1
,,,402.5,40.25,10.0,402.5,,402.5,40.25,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.41,-0.161813640474981,90.0,4.8,7,15,2016,1
16.3,2.6,4.5,111.8,39.1672,13.0,509.17,1.7,111.8,39.1672,,,Industrial,Engineering&Construction,Building-Heavy Construct,1.03,0.5851063829787189,90.2,5.6,5,7,2004,0
387.2,-297.1,-20.3,240.0,73.7729,12.0,885.27,-0.8,240.0,73.7729,,,Communications,Internet,Web Hosting/Design,6.51,0.0,107.3,4.1,8,11,2000,1
